"locus","chr","start","stop","processed","K","n_snps","h2_ASD","h2_ADHD","p_ASD","p_ADHD","gate_pass","rho_hat","rho_raw","paramlim_drop","rho_lower","rho_upper","bivar_p","n_pheno_returned","dropped_pheno"
13,1,10753428,11709173,TRUE,173,1563,0.000465642,0.000250034,0.124818,0.00628775,FALSE,NA,NA,NA,NA,NA,NA,2,NA
14,1,11709174,13481025,TRUE,207,2048,NA,0.00024194,NA,0.00978686,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
15,1,13481026,14720131,TRUE,330,2526,0.000754394,0.000519078,0.0897303,3.10733e-05,FALSE,NA,NA,NA,NA,NA,NA,2,NA
16,1,14720132,15755230,TRUE,374,2473,NA,5.85953e-05,NA,0.314406,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
17,1,15755231,16732168,TRUE,161,2110,NA,0.000120584,NA,0.0760487,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
18,1,16732169,17557746,TRUE,110,878,NA,0.000281319,NA,0.000195138,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
19,1,17557747,18427820,TRUE,247,1935,4.0741e-05,0.000411855,0.45433,0.000125839,FALSE,NA,NA,NA,NA,NA,NA,2,NA
20,1,18427821,19238924,TRUE,343,2057,NA,0.000302771,NA,0.00839454,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
21,1,19238925,20556202,TRUE,334,3101,NA,0.000355694,NA,0.00218161,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
22,1,20556203,21416121,TRUE,195,1805,NA,0.000280769,NA,0.00206404,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
23,1,21416122,22145629,TRUE,228,1721,NA,0.00039393,NA,0.000137519,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
24,1,22145630,22740287,TRUE,229,1684,NA,0.000267272,NA,0.00550668,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
25,1,22740288,23907045,TRUE,242,1782,NA,0.000483466,NA,9.35663e-06,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
26,1,23907046,25885138,TRUE,390,3037,NA,0.000289949,NA,0.0149176,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
27,1,25885139,27992665,TRUE,240,2571,NA,0.000340514,NA,0.000864225,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
28,1,27992666,29188426,TRUE,147,1607,NA,0.000162406,NA,0.027763,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
29,1,29188427,30405182,TRUE,292,2138,NA,0.000364679,NA,0.00108015,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
30,1,30405183,31639217,TRUE,306,2740,NA,0.000210525,NA,0.0367672,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
31,1,31639218,33066846,TRUE,188,1896,5.48202e-06,0.000500411,0.481064,6.77508e-07,FALSE,NA,NA,NA,NA,NA,NA,2,NA
32,1,33066847,34371022,TRUE,232,1977,NA,0.000198393,NA,0.0260054,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
33,1,34371023,35201626,TRUE,273,1910,NA,0.00065619,NA,1.11017e-07,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
34,1,35201627,36855139,TRUE,146,1343,NA,0.000246837,NA,0.00288644,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
35,1,36855140,38474036,TRUE,368,3082,NA,0.000443981,NA,0.000428013,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
36,1,38474037,40200950,TRUE,363,3008,NA,0.000582673,NA,9.20298e-06,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
37,1,40200951,41093875,TRUE,182,1692,NA,0.00028675,NA,0.00140676,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
38,1,41093876,41977966,TRUE,266,2084,NA,0.000425073,NA,0.000133382,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
39,1,41977967,43512669,TRUE,242,2843,0.00101029,0.000259771,0.0208451,0.00778076,TRUE,0.291624,0.291624,FALSE,-0.80633,1,0.427005,2,NA
40,1,43512670,45167235,TRUE,303,2808,0.000989383,0.00072574,0.035554,2.46589e-08,TRUE,-0.173451,-0.173451,FALSE,-1,0.34497,0.521591,2,NA
41,1,45167236,47257261,TRUE,213,3064,NA,0.000562741,NA,1.50189e-07,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
42,1,47257262,48105233,TRUE,145,1428,1.54237e-05,0.000290603,0.467699,0.00040678,FALSE,NA,NA,NA,NA,NA,NA,2,NA
43,1,48105234,49185414,TRUE,241,1923,NA,0.000411128,NA,0.000120258,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
44,1,49185415,51777577,TRUE,162,2611,NA,0.000197433,NA,0.011973,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
45,1,51777578,53114186,TRUE,129,1731,0.000421398,0.000153287,0.114876,0.0254552,FALSE,NA,NA,NA,NA,NA,NA,2,NA
46,1,53114187,54771293,TRUE,353,3227,NA,0.000486015,NA,0.00014815,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
47,1,54771294,55727134,TRUE,332,2316,NA,0.00022059,NA,0.037035,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
48,1,55727135,56799636,TRUE,242,2690,0.000608898,0.000328359,0.102607,0.00130163,FALSE,NA,NA,NA,NA,NA,NA,2,NA
49,1,56799637,57529670,TRUE,187,1708,NA,1.01837e-05,NA,0.441392,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
50,1,57529671,58387483,TRUE,230,1944,0.000308624,0.000292398,0.246757,0.0030002,FALSE,NA,NA,NA,NA,NA,NA,2,NA
51,1,58387484,59889045,TRUE,346,3201,NA,0.000405929,NA,0.000867143,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
52,1,59889046,61377615,TRUE,325,2554,0.000883857,0.000824031,0.058083,7.39725e-10,FALSE,NA,NA,NA,NA,NA,NA,2,NA
53,1,61377616,62778733,TRUE,409,2936,NA,0.000697527,NA,1.00069e-06,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
54,1,62778734,64344226,TRUE,344,2936,NA,0.000222095,NA,0.0363032,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
55,1,64344227,65894184,TRUE,305,2843,0.000964083,0.000470277,0.0395446,8.15042e-05,TRUE,-0.256543,-0.256543,FALSE,-1,0.34646,0.42352,2,NA
56,1,65894185,66778015,TRUE,140,1775,0.000731509,0.000192937,0.0272503,0.00911351,TRUE,0.267513,0.267513,FALSE,-0.85315,1,0.496204,2,NA
57,1,66778016,67761890,TRUE,198,2256,0.000463696,0.000333046,0.140759,0.000421903,FALSE,NA,NA,NA,NA,NA,NA,2,NA
58,1,67761891,68633860,TRUE,227,1758,0.000295239,0.000234765,0.254281,0.0126877,FALSE,NA,NA,NA,NA,NA,NA,2,NA
59,1,68633861,69438909,TRUE,160,1783,NA,2.69739e-05,NA,0.357657,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
60,1,69438910,70992905,TRUE,292,2675,NA,0.000350796,NA,0.00156929,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
61,1,70992906,72513119,TRUE,236,2591,NA,0.00026471,NA,0.00638227,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
62,1,72513120,73992170,TRUE,123,2619,2.96361e-05,0.000425974,0.448387,5.13884e-07,FALSE,NA,NA,NA,NA,NA,NA,2,NA
63,1,73992171,75132092,TRUE,140,1732,NA,0.000230527,NA,0.00283159,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
64,1,75132093,76097247,TRUE,121,1759,0.000427587,0.000286609,0.105068,0.000181951,FALSE,NA,NA,NA,NA,NA,NA,2,NA
65,1,76097248,76977915,TRUE,185,2151,NA,0.000324367,NA,0.000392587,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
66,1,76977916,77895394,TRUE,187,2098,NA,4.64083e-05,NA,0.290885,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
67,1,77895395,79065286,TRUE,181,2131,NA,0.000220829,NA,0.00979601,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
68,1,79065287,80099353,TRUE,158,2522,NA,9.6718e-05,NA,0.118296,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
69,1,80099354,80781442,TRUE,117,1708,NA,0.000163551,NA,0.0157404,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
70,1,80781443,82123368,TRUE,332,3190,NA,2.92746e-06,NA,0.480196,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
71,1,82123369,83461215,TRUE,264,2961,NA,0.000111734,NA,0.143692,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
72,1,83461216,84728347,TRUE,190,2073,0.000714984,0.000451557,0.0499892,5.23904e-06,TRUE,0.268376,0.268376,FALSE,-0.52159,1,0.398795,2,NA
73,1,84728348,86017267,TRUE,339,2951,0.000310979,0.000419207,0.283804,0.000519716,FALSE,NA,NA,NA,NA,NA,NA,2,NA
74,1,86017268,86761554,TRUE,160,1911,6.49312e-05,0.000242982,0.419011,0.00308078,FALSE,NA,NA,NA,NA,NA,NA,2,NA
75,1,86761555,87667572,TRUE,123,1745,0.000260006,2.65771e-05,0.21565,0.341813,FALSE,NA,NA,NA,NA,NA,NA,2,NA
76,1,87667573,88656689,TRUE,263,1721,NA,0.000438512,NA,8.65271e-05,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
77,1,88656690,89753964,TRUE,154,1984,0.000235997,0.000107894,0.258813,0.0932726,FALSE,NA,NA,NA,NA,NA,NA,2,NA
78,1,89753965,90941549,TRUE,257,1988,0.000375139,0.000522488,0.217754,4.27035e-06,FALSE,NA,NA,NA,NA,NA,NA,2,NA
79,1,90941550,91870059,TRUE,223,1892,NA,0.000405943,NA,8.97517e-05,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
80,1,91870060,92904465,TRUE,236,1980,6.25368e-05,0.000277525,0.435046,0.0047869,FALSE,NA,NA,NA,NA,NA,NA,2,NA
81,1,92904466,94168576,TRUE,133,1795,NA,0.000140089,NA,0.0359957,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
82,1,94168577,95122541,TRUE,213,1883,NA,0.000221909,NA,0.014206,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
83,1,95122542,96147576,TRUE,260,2477,NA,0.000533085,NA,3.75075e-06,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
84,1,96147577,97721186,TRUE,289,3061,0.00125133,0.000794037,0.0107925,4.46016e-10,TRUE,0.593518,0.593518,FALSE,0.18867,1,0.0104186,2,NA
85,1,97721187,99425000,TRUE,298,3360,0.00158306,0.000706507,0.00240087,2.07762e-08,TRUE,-0.140215,-0.140215,FALSE,-0.79846,0.27667,0.522166,2,NA
86,1,99425001,100269207,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
87,1,100269208,101188315,TRUE,116,1625,NA,0.00010335,NA,0.077337,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
88,1,101188316,102424611,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
89,1,102424612,103148412,TRUE,96,1679,1.25305e-05,7.97625e-05,0.464166,0.107536,FALSE,NA,NA,NA,NA,NA,NA,2,NA
90,1,103148413,103784541,TRUE,57,1844,NA,0.000174728,NA,0.00103773,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
91,1,103784542,104984435,TRUE,144,1785,0.000663299,0.000430726,0.0412515,1.74821e-06,TRUE,0.685377,0.685377,FALSE,0.12876,1,0.0273128,2,NA
92,1,104984436,106089656,TRUE,136,3073,0.000423396,0.000231125,0.119505,0.00252056,FALSE,NA,NA,NA,NA,NA,NA,2,NA
93,1,106089657,106864947,TRUE,126,1575,NA,0.000184772,NA,0.00937024,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
94,1,106864948,107874653,TRUE,189,1792,3.52302e-05,0.000189236,0.453025,0.0210895,FALSE,NA,NA,NA,NA,NA,NA,2,NA
95,1,107874654,109271449,TRUE,286,2593,0.00119744,0.000255281,0.0133665,0.0133581,TRUE,0.273344,0.273344,FALSE,-0.72182,1,0.455029,2,NA
96,1,109271450,110224230,TRUE,243,1857,0.000334002,9.97528e-05,0.236332,0.161262,FALSE,NA,NA,NA,NA,NA,NA,2,NA
97,1,110224231,111134062,TRUE,257,1535,0.000127563,0.000510353,0.386597,7.9692e-06,FALSE,NA,NA,NA,NA,NA,NA,2,NA
98,1,111134063,112489248,TRUE,409,3290,0.000913905,0.000403412,0.0725342,0.00172298,FALSE,NA,NA,NA,NA,NA,NA,2,NA
99,1,112489249,113418037,TRUE,253,1697,3.54875e-05,0.000335193,0.459143,0.00149177,FALSE,NA,NA,NA,NA,NA,NA,2,NA
100,1,113418038,114664387,TRUE,221,1928,NA,0.000209755,NA,0.0223045,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
101,1,114664388,116207297,TRUE,363,3449,NA,0.000376743,NA,0.00206161,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
102,1,116207298,117046311,TRUE,189,1647,0.00013421,0.000180423,0.362887,0.0264804,FALSE,NA,NA,NA,NA,NA,NA,2,NA
103,1,117046312,118118667,TRUE,242,1755,NA,0.000878259,NA,5.02892e-13,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
104,1,118118668,119408888,TRUE,227,2428,NA,0.000172253,NA,0.0434407,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
105,1,119408889,120345066,TRUE,215,1784,NA,0.000131878,NA,0.0846406,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
106,1,120345067,145803848,TRUE,42,398,NA,0.000178503,NA,0.000561748,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
107,1,145803849,147083835,TRUE,94,1490,9.50764e-05,0.000222763,0.357559,0.00145957,FALSE,NA,NA,NA,NA,NA,NA,2,NA
108,1,147083836,149716037,TRUE,92,829,0.000789106,0.000189811,0.00707111,0.0047301,TRUE,0.496574,0.496574,FALSE,-0.27796,1,0.152016,2,NA
109,1,149716038,151146407,TRUE,121,1755,0.000117108,0.000114947,0.349532,0.0604619,FALSE,NA,NA,NA,NA,NA,NA,2,NA
110,1,151146408,152535630,TRUE,207,1902,NA,0.000255849,NA,0.00511984,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
111,1,152535631,153410809,TRUE,120,1582,NA,0.000202822,NA,0.00428175,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
112,1,153410810,154685545,TRUE,195,1730,0.000302233,0.000326875,0.233674,0.000531451,FALSE,NA,NA,NA,NA,NA,NA,2,NA
113,1,154685546,156813845,TRUE,436,2623,NA,0.000721948,NA,8.29655e-07,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
114,1,156813846,158081627,TRUE,324,2820,NA,0.000310568,NA,0.00543705,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
115,1,158081628,158900369,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
116,1,158900370,159882515,TRUE,204,1975,0.000670945,2.24716e-05,0.0666545,0.393111,FALSE,NA,NA,NA,NA,NA,NA,2,NA
117,1,159882516,161054076,TRUE,290,2156,0.000915049,0.000496807,0.0435695,2.66972e-05,TRUE,-0.162676,-0.162676,FALSE,-1,0.44864,0.606056,2,NA
118,1,161054077,161945442,TRUE,178,1697,0.000533299,0.000323027,0.0986157,0.000414239,FALSE,NA,NA,NA,NA,NA,NA,2,NA
119,1,161945443,163141862,TRUE,362,2860,0.000120278,0.000175275,0.408695,0.0822879,FALSE,NA,NA,NA,NA,NA,NA,2,NA
120,1,163141863,163854567,TRUE,113,1723,0.00042736,4.45659e-05,0.0981987,0.2494,FALSE,NA,NA,NA,NA,NA,NA,2,NA
121,1,163854568,164726579,TRUE,164,1524,0.000177218,0.000427744,0.314575,4.72745e-06,FALSE,NA,NA,NA,NA,NA,NA,2,NA
122,1,164726580,165553812,TRUE,295,2060,0.000100497,0.000269133,0.413638,0.0104582,FALSE,NA,NA,NA,NA,NA,NA,2,NA
123,1,165553813,166458031,TRUE,229,1730,3.21181e-05,0.000588396,0.459953,2.12091e-07,FALSE,NA,NA,NA,NA,NA,NA,2,NA
124,1,166458032,167163954,TRUE,172,1901,0.000264979,0.000318156,0.247318,0.000343154,FALSE,NA,NA,NA,NA,NA,NA,2,NA
125,1,167163955,168179086,TRUE,244,1837,NA,0.000296855,NA,0.00318591,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
126,1,168179087,169521551,TRUE,332,3192,NA,0.000452449,NA,0.000213897,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
127,1,169521552,170193207,TRUE,98,1887,NA,0.000136553,NA,0.022344,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
128,1,170193208,171044255,TRUE,161,1752,NA,0.000348978,NA,7.78634e-05,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
129,1,171044256,172465153,TRUE,256,3161,NA,7.26945e-05,NA,0.233815,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
130,1,172465154,173582511,TRUE,227,1686,NA,2.47446e-05,NA,0.388605,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
131,1,173582512,175385220,TRUE,159,2918,0.00105081,0.000279464,0.00566356,0.000952657,TRUE,0.512864,0.512864,FALSE,-0.13029,1,0.0916952,2,NA
132,1,175385221,176449096,TRUE,151,1788,NA,0.000191897,NA,0.0127618,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
133,1,176449097,177746472,TRUE,221,2218,NA,0.000440903,NA,2.40425e-05,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
134,1,177746473,178915113,TRUE,199,2132,NA,0.000605789,NA,1.08921e-08,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
135,1,178915114,180221608,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
136,1,180221609,181324205,TRUE,199,2156,NA,0.000248101,NA,0.00565903,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
137,1,181324206,182420540,TRUE,279,2362,NA,0.000480728,NA,3.02876e-05,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
138,1,182420541,183920616,TRUE,261,2934,NA,0.000232938,NA,0.0166982,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
139,1,183920617,184953089,TRUE,211,1900,NA,0.000330344,NA,0.000779686,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
140,1,184953090,186179447,TRUE,157,1384,3.71609e-05,3.55365e-05,0.446524,0.32166,FALSE,NA,NA,NA,NA,NA,NA,2,NA
141,1,186179448,187072605,TRUE,125,1729,0.000426549,5.78315e-05,0.108961,0.206828,FALSE,NA,NA,NA,NA,NA,NA,2,NA
142,1,187072606,187757076,TRUE,146,1742,0.000540266,0.000287548,0.0765983,0.000567427,FALSE,NA,NA,NA,NA,NA,NA,2,NA
143,1,187757077,188625772,TRUE,94,2446,NA,0.000277928,NA,7.4193e-05,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
144,1,188625773,189904637,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
145,1,189904638,191419275,TRUE,182,3181,0.000482294,0.000369016,0.12262,9.93597e-05,FALSE,NA,NA,NA,NA,NA,NA,2,NA
146,1,191419276,192468373,TRUE,161,2066,NA,0.000198885,NA,0.0111792,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
147,1,192468374,193575516,TRUE,152,1609,0.000180215,7.91776e-05,0.305475,0.161652,FALSE,NA,NA,NA,NA,NA,NA,2,NA
148,1,193575517,194365688,TRUE,123,2099,0.00060656,0.000314531,0.0432332,9.24951e-05,TRUE,0.713611,0.713611,FALSE,0.10014,1,0.0386047,2,NA
149,1,194365689,195161235,TRUE,94,2304,NA,0.000143258,NA,0.0171226,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
150,1,195161236,196179110,TRUE,153,2043,NA,0.000106409,NA,0.0963403,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
151,1,196179111,197935821,TRUE,179,2121,NA,0.000355049,NA,0.000131571,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
152,1,197935822,199263389,TRUE,239,2684,0.00104513,NA,0.0172775,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ADHD"
153,1,199263390,200134005,TRUE,184,2364,NA,0.000306774,NA,0.000725445,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
154,1,200134006,201067952,TRUE,209,1930,0.000399691,0.000231033,0.180528,0.0103429,FALSE,NA,NA,NA,NA,NA,NA,2,NA
155,1,201067953,202583884,TRUE,471,2980,NA,0.000719482,NA,1.80803e-06,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
156,1,202583885,204092537,TRUE,373,2781,NA,0.000401366,NA,0.00147156,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
157,1,204092538,205009623,TRUE,251,1840,NA,0.000271485,NA,0.00648556,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
158,1,205009624,205917548,TRUE,260,2082,NA,0.000259875,NA,0.00958714,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
159,1,205917549,208162951,TRUE,359,2948,NA,0.000127726,NA,0.150391,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
160,1,208162952,209711169,TRUE,474,3042,NA,0.000909732,NA,5.6569e-09,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
161,1,209711170,211082892,TRUE,354,2940,0.000350335,0.000332426,0.265548,0.00476142,FALSE,NA,NA,NA,NA,NA,NA,2,NA
162,1,211082893,212347582,TRUE,285,3315,NA,0.000500245,NA,2.63955e-05,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
163,1,212347583,213958292,TRUE,388,3395,2.67014e-05,0.000721299,0.47277,2.51498e-07,FALSE,NA,NA,NA,NA,NA,NA,2,NA
164,1,213958293,214783872,TRUE,232,1801,NA,0.000249474,NA,0.00836752,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
165,1,214783873,215825791,TRUE,153,1704,NA,0.000252593,NA,0.0020698,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
166,1,215825792,216658126,TRUE,198,1676,0.000508608,0.000241192,0.120124,0.0063817,FALSE,NA,NA,NA,NA,NA,NA,2,NA
167,1,216658127,217352165,TRUE,222,1687,1.86291e-05,0.00015239,0.471078,0.0633379,FALSE,NA,NA,NA,NA,NA,NA,2,NA
168,1,217352166,218563960,TRUE,294,3103,NA,0.000476948,NA,4.54605e-05,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
169,1,218563961,220073132,TRUE,268,3488,0.000205208,3.42986e-05,0.331833,0.36302,FALSE,NA,NA,NA,NA,NA,NA,2,NA
170,1,220073133,220978151,TRUE,160,1829,8.34675e-05,0.000844867,0.400611,6.00342e-15,FALSE,NA,NA,NA,NA,NA,NA,2,NA
171,1,220978152,221856864,TRUE,172,2015,0.000174362,0.000387341,0.320976,3.07523e-05,FALSE,NA,NA,NA,NA,NA,NA,2,NA
172,1,221856865,222763597,TRUE,232,1657,0.000125477,0.000242087,0.382589,0.0101829,FALSE,NA,NA,NA,NA,NA,NA,2,NA
173,1,222763598,223654902,TRUE,172,1582,NA,0.00014061,NA,0.0581944,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
174,1,223654903,224943337,TRUE,218,2165,0.000445896,0.000427878,0.160547,3.80889e-05,FALSE,NA,NA,NA,NA,NA,NA,2,NA
175,1,224943338,226534711,TRUE,305,3237,0.00109485,0.000489364,0.0238931,4.57972e-05,TRUE,0.0971767,0.0971767,FALSE,-0.73359,0.6893,0.744565,2,NA
176,1,226534712,228045554,TRUE,301,3700,0.000959801,7.69919e-05,0.0392702,0.241187,FALSE,NA,NA,NA,NA,NA,NA,2,NA
177,1,228045555,229075156,TRUE,200,1742,NA,6.02952e-06,NA,0.460794,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
178,1,229075157,230227247,TRUE,243,1697,NA,0.000187237,NA,0.03722,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
179,1,230227248,231287764,TRUE,426,3122,NA,0.000644172,NA,5.95561e-06,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
180,1,231287765,232177704,TRUE,239,1641,NA,0.000107363,NA,0.142023,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
181,1,232177705,232954942,TRUE,292,1888,NA,0.000203575,NA,0.0366802,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
182,1,232954943,233639473,TRUE,182,1802,NA,3.81809e-05,NA,0.320215,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
183,1,233639474,234365796,TRUE,233,1918,NA,0.000268318,NA,0.00536231,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
184,1,234365797,235097113,TRUE,282,1762,NA,0.000313251,NA,0.00399635,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
185,1,235097114,236199671,TRUE,149,1658,NA,0.000116687,NA,0.0768978,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
186,1,236199672,237409458,TRUE,296,2953,9.88907e-05,0.000102122,0.41496,0.181088,FALSE,NA,NA,NA,NA,NA,NA,2,NA
187,1,237409459,238094455,TRUE,219,1734,0.000185547,NA,0.330877,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ADHD"
