"locus","chr","start","stop","processed","K","n_snps","h2_MDD","h2_BIP","p_MDD","p_BIP","gate_pass","rho_hat","rho_raw","paramlim_drop","rho_lower","rho_upper","bivar_p","n_pheno_returned","dropped_pheno"
20,1,18427821,19238924,TRUE,459,2294,0.00063436,6.03391e-05,0.000397874,0.209903,FALSE,NA,NA,NA,NA,NA,NA,2,NA
21,1,19238925,20556202,TRUE,433,3341,8.24623e-05,0.000216066,0.309944,0.00262163,FALSE,NA,NA,NA,NA,NA,NA,2,NA
22,1,20556203,21416121,TRUE,226,1878,0.00014762,7.42741e-05,0.120977,0.0856329,FALSE,NA,NA,NA,NA,NA,NA,2,NA
23,1,21416122,22145629,TRUE,258,1835,3.16146e-05,0.000204925,0.395214,0.000471412,FALSE,NA,NA,NA,NA,NA,NA,2,NA
24,1,22145630,22740287,TRUE,252,1720,4.17904e-05,0.000111072,0.365615,0.0290349,FALSE,NA,NA,NA,NA,NA,NA,2,NA
25,1,22740288,23907045,TRUE,328,1950,0.000227355,0.000172684,0.0704658,0.00562964,FALSE,NA,NA,NA,NA,NA,NA,2,NA
26,1,23907046,25885138,TRUE,506,3292,0.000350282,0.000202971,0.0352651,0.00760778,TRUE,0.0326748,0.0326748,FALSE,-1,0.94924,0.929476,2,NA
27,1,25885139,27992665,TRUE,418,3023,0.000961133,0.000229573,2.76613e-07,0.0015844,TRUE,-0.409523,-0.409523,FALSE,-1,0.00745,0.0570653,2,NA
28,1,27992666,29188426,TRUE,218,1921,0.000278989,4.93107e-05,0.018269,0.188367,FALSE,NA,NA,NA,NA,NA,NA,2,NA
29,1,29188427,30405182,TRUE,357,2265,0.000393998,0.000205408,0.0084795,0.00193048,TRUE,0.312821,0.312821,FALSE,-0.39607,1,0.304351,2,NA
30,1,30405183,31639217,TRUE,402,2944,0.000418738,0.00025383,0.00853815,0.000453722,TRUE,0.428655,0.428655,FALSE,-0.17011,1,0.131355,2,NA
31,1,31639218,33066846,TRUE,298,2147,0.000416602,0.000172906,0.00353618,0.00390534,TRUE,-0.283674,-0.283674,FALSE,-1,0.33699,0.347032,2,NA
32,1,33066847,34371022,TRUE,329,2137,0.000762543,0.000361199,3.11668e-06,3.06851e-07,TRUE,-0.131859,-0.131859,FALSE,-0.55597,0.21997,0.46581,2,NA
33,1,34371023,35201626,TRUE,339,2044,NA,0.000155812,NA,0.0120409,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD"
34,1,35201627,36855139,TRUE,273,1656,0.000525728,0.000196885,0.000468136,0.00106135,TRUE,0.0746032,0.0746032,FALSE,-0.56822,0.63976,0.773257,2,NA
35,1,36855140,38474036,TRUE,498,3349,0.000510078,9.91826e-05,0.00437388,0.107751,FALSE,NA,NA,NA,NA,NA,NA,2,NA
36,1,38474037,40200950,TRUE,479,3255,0.000304796,0.000647018,0.0514683,2.47417e-13,FALSE,NA,NA,NA,NA,NA,NA,2,NA
37,1,40200951,41093875,TRUE,239,1839,0.000254832,0.000117599,0.0278003,0.0201552,TRUE,0.129388,0.129388,FALSE,-1,1,0.74749,2,NA
38,1,41093876,41977966,TRUE,280,2128,0.000398558,0.00025098,0.00344952,5.71277e-05,TRUE,0.268306,0.268306,FALSE,-0.29913,0.86922,0.295652,2,NA
39,1,41977967,43512669,TRUE,310,2979,0.000262181,0.00020497,0.0407299,0.00112969,TRUE,0.626638,0.626638,FALSE,-0.04713,1,0.0711558,2,NA
40,1,43512670,45167235,TRUE,380,2947,0.000635128,0.00016295,0.000165385,0.0128351,TRUE,-0.0562207,-0.0562207,FALSE,-0.8901,0.55855,0.84326,2,NA
41,1,45167236,47257261,TRUE,279,3254,0.000618009,0.000301508,2.85333e-05,2.96955e-06,TRUE,0.045363,0.045363,FALSE,-0.40486,0.45154,0.820578,2,NA
42,1,47257262,48105233,TRUE,187,1512,0.000252244,9.58543e-05,0.0176479,0.0281587,TRUE,0.0136635,0.0136635,FALSE,-1,1,0.972909,2,NA
43,1,48105234,49185414,TRUE,301,2031,1.04802e-05,0.000171557,0.460194,0.00446083,FALSE,NA,NA,NA,NA,NA,NA,2,NA
44,1,49185415,51777577,TRUE,212,2776,0.000381347,9.76343e-05,0.00187513,0.0329488,TRUE,0.274431,0.274431,FALSE,-0.58878,1,0.43621,2,NA
45,1,51777578,53114186,TRUE,154,1852,0.000150684,8.22273e-05,0.078098,0.0376261,FALSE,NA,NA,NA,NA,NA,NA,2,NA
46,1,53114187,54771293,TRUE,479,3473,0.00056388,0.0003508,0.00201785,1.93312e-05,TRUE,0.168195,0.168195,FALSE,-0.36346,0.68359,0.474077,2,NA
47,1,54771294,55727134,TRUE,395,2434,NA,0.000173852,NA,0.00930811,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD"
48,1,55727135,56799636,TRUE,286,2785,0.000380886,0.000307526,0.00519664,2.64956e-06,TRUE,0.158925,0.158925,FALSE,-0.3994,0.7218,0.516863,2,NA
49,1,56799637,57529670,TRUE,266,1866,0.000132427,6.40279e-06,0.164629,0.44474,FALSE,NA,NA,NA,NA,NA,NA,2,NA
50,1,57529671,58387483,TRUE,258,2010,NA,8.1745e-06,NA,0.431908,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD"
51,1,58387484,59889045,TRUE,417,3325,NA,0.000207056,NA,0.00315854,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD"
52,1,59889046,61377615,TRUE,380,2704,NA,0.000208984,NA,0.00225939,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD"
53,1,61377616,62778733,TRUE,507,3173,0.000158833,0.000253191,0.196968,0.00140548,FALSE,NA,NA,NA,NA,NA,NA,2,NA
54,1,62778734,64344226,TRUE,411,3105,0.000288861,0.000178421,0.046734,0.00842533,TRUE,-0.973383,-0.973383,FALSE,-1,-0.20539,0.0126475,2,NA
55,1,64344227,65894184,TRUE,399,3058,0.000226005,0.000157102,0.0925225,0.0167824,FALSE,NA,NA,NA,NA,NA,NA,2,NA
56,1,65894185,66778015,TRUE,166,1896,0.000308205,NA,0.00448397,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"BIP"
57,1,66778016,67761890,TRUE,225,2324,0.000227581,2.90688e-05,0.0386534,0.282715,FALSE,NA,NA,NA,NA,NA,NA,2,NA
58,1,67761891,68633860,TRUE,265,1834,0.000206661,0.000115273,0.069808,0.0288356,FALSE,NA,NA,NA,NA,NA,NA,2,NA
59,1,68633861,69438909,TRUE,194,1863,0.000143487,5.96043e-05,0.109673,0.115054,FALSE,NA,NA,NA,NA,NA,NA,2,NA
60,1,69438910,70992905,TRUE,357,2840,0.000431041,0.000316171,0.00460002,9.34857e-06,TRUE,-0.0569112,-0.0569112,FALSE,-0.72445,0.43837,0.816934,2,NA
61,1,70992906,72513119,TRUE,265,2674,0.000308851,0.000188858,0.0147082,0.00118085,TRUE,0.160311,0.160311,FALSE,-0.66579,0.94066,0.610784,2,NA
62,1,72513120,73992170,TRUE,159,2718,0.000504602,0.000223936,1.76226e-05,6.97544e-06,TRUE,0.478078,0.478078,FALSE,0.07336,0.9263,0.0231813,2,NA
63,1,73992171,75132092,TRUE,200,1864,0.000247445,1.26922e-05,0.0227274,0.387319,FALSE,NA,NA,NA,NA,NA,NA,2,NA
64,1,75132093,76097247,TRUE,153,1828,6.91174e-05,0.000130911,0.243544,0.00281369,FALSE,NA,NA,NA,NA,NA,NA,2,NA
65,1,76097248,76977915,TRUE,217,2245,NA,0.000163509,NA,0.00177826,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD"
66,1,76977916,77895394,TRUE,231,2194,0.00027285,0.000166918,0.0195441,0.00212725,TRUE,-0.0591346,-0.0591346,FALSE,-1,0.68945,0.859733,2,NA
67,1,77895395,79065286,TRUE,205,2198,0.000224881,0.00025712,0.0345907,6.42605e-06,TRUE,0.251236,0.251236,FALSE,-0.47144,1,0.400964,2,NA
68,1,79065287,80099353,TRUE,187,2681,0.000239239,0.000173757,0.0222796,0.000528136,TRUE,0.521522,0.521522,FALSE,-0.14973,1,0.107701,2,NA
69,1,80099354,80781442,TRUE,131,1740,6.44617e-05,5.64353e-05,0.243047,0.0883719,FALSE,NA,NA,NA,NA,NA,NA,2,NA
70,1,80781443,82123368,TRUE,415,3380,0.00046131,0.000217878,0.00518799,0.00290771,TRUE,-0.396943,-0.396943,FALSE,-1,0.19048,0.18357,2,NA
71,1,82123369,83461215,TRUE,323,3123,0.000102018,0.000193278,0.240876,0.00207805,FALSE,NA,NA,NA,NA,NA,NA,2,NA
72,1,83461216,84728347,TRUE,261,2296,0.000226939,0.000310109,0.0505478,7.91275e-07,FALSE,NA,NA,NA,NA,NA,NA,2,NA
73,1,84728348,86017267,TRUE,392,3069,NA,0.000293371,NA,6.63702e-05,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD"
74,1,86017268,86761554,TRUE,174,1935,NA,0.000165841,NA,0.000618918,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD"
75,1,86761555,87667572,TRUE,175,1870,0.000109693,0.000200931,0.157647,6.88335e-05,FALSE,NA,NA,NA,NA,NA,NA,2,NA
76,1,87667573,88656689,TRUE,349,1876,0.000445555,6.09585e-05,0.00336178,0.178328,FALSE,NA,NA,NA,NA,NA,NA,2,NA
77,1,88656690,89753964,TRUE,224,2145,0.000626434,7.43239e-05,5.34892e-06,0.0847734,FALSE,NA,NA,NA,NA,NA,NA,2,NA
78,1,89753965,90941549,TRUE,317,2113,0.000133536,0.000145808,0.182276,0.0137181,FALSE,NA,NA,NA,NA,NA,NA,2,NA
79,1,90941550,91870059,TRUE,241,1939,0.000259186,6.87739e-05,0.0269496,0.109388,FALSE,NA,NA,NA,NA,NA,NA,2,NA
80,1,91870060,92904465,TRUE,259,2021,0.000360418,0.000326057,0.00541367,3.30647e-07,TRUE,0.35721,0.35721,FALSE,-0.11774,0.95065,0.133964,2,NA
81,1,92904466,94168576,TRUE,182,1920,0.000162004,3.40603e-05,0.0805303,0.231087,FALSE,NA,NA,NA,NA,NA,NA,2,NA
82,1,94168577,95122541,TRUE,259,2004,0.000352632,0.00020121,0.00668374,0.000790061,TRUE,-0.09854,-0.09854,FALSE,-0.9563,0.5008,0.736488,2,NA
83,1,95122542,96147576,TRUE,289,2521,NA,0.000264535,NA,3.52316e-05,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD"
84,1,96147577,97721186,TRUE,309,3114,0.000466866,0.000258267,0.00136818,7.55729e-05,TRUE,0.314231,0.314231,FALSE,-0.20536,0.87393,0.198896,2,NA
85,1,97721187,99425000,TRUE,400,3602,0.000882289,0.000189364,8.91732e-07,0.00565133,TRUE,0.0545127,0.0545127,FALSE,-0.50881,0.5819,0.817367,2,NA
86,1,99425001,100269207,TRUE,248,2022,NA,0.000213013,NA,0.000255694,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD"
87,1,100269208,101188315,TRUE,150,1705,3.01954e-05,0.000205019,0.370377,2.6425e-05,FALSE,NA,NA,NA,NA,NA,NA,2,NA
88,1,101188316,102424611,TRUE,331,3004,4.92756e-05,0.000148407,0.364197,0.0139248,FALSE,NA,NA,NA,NA,NA,NA,2,NA
89,1,102424612,103148412,TRUE,130,1801,NA,0.000135788,NA,0.00118005,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD"
90,1,103148413,103784541,TRUE,78,1925,5.15235e-05,NA,0.232675,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"BIP"
91,1,103784542,104984435,TRUE,165,1913,3.97089e-05,0.000165954,0.345405,0.000653983,FALSE,NA,NA,NA,NA,NA,NA,2,NA
92,1,104984436,106089656,TRUE,200,3280,NA,0.000202334,NA,0.000129273,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD"
93,1,106089657,106864947,TRUE,206,1787,0.00027538,0.00010009,0.01494,0.0297173,TRUE,-0.591413,-0.591413,FALSE,-1,0.18908,0.137068,2,NA
94,1,106864948,107874653,TRUE,235,1877,0.000248296,0.000145241,0.0302688,0.00566408,TRUE,-0.395952,-0.395952,FALSE,-1,0.34938,0.283886,2,NA
95,1,107874654,109271449,TRUE,347,2750,0.000471015,0.000238804,0.00213858,0.000387586,TRUE,0.219695,0.219695,FALSE,-0.35562,0.81526,0.402694,2,NA
96,1,109271450,110224230,TRUE,283,1968,0.00028751,0.00018362,0.0237176,0.0019705,TRUE,0.591561,0.591561,FALSE,-0.09188,1,0.0785978,2,NA
97,1,110224231,111134062,TRUE,350,1733,0.000538901,0.000270897,0.000653265,9.97345e-05,TRUE,-0.00068373,-0.00068373,FALSE,-0.592,0.48177,0.997696,2,NA
98,1,111134063,112489248,TRUE,455,3378,NA,0.000407174,NA,4.60734e-07,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD"
99,1,112489249,113418037,TRUE,289,1764,0.000262701,0.000220754,0.0356394,0.000359992,TRUE,-0.208202,-0.208202,FALSE,-1,0.47552,0.524607,2,NA
100,1,113418038,114664387,TRUE,266,2032,0.000525047,0.000256616,0.000207864,4.92474e-05,TRUE,0.0447252,0.0447252,FALSE,-0.48621,0.5012,0.843534,2,NA
101,1,114664388,116207297,TRUE,395,3506,4.84877e-05,0.000237135,0.376521,0.000704278,FALSE,NA,NA,NA,NA,NA,NA,2,NA
102,1,116207298,117046311,TRUE,251,1762,7.49767e-05,9.51506e-05,0.281002,0.049201,FALSE,NA,NA,NA,NA,NA,NA,2,NA
103,1,117046312,118118667,TRUE,309,1893,5.43161e-05,0.00018271,0.348139,0.00294008,FALSE,NA,NA,NA,NA,NA,NA,2,NA
104,1,118118668,119408888,TRUE,260,2528,0.000144018,0.000199746,0.14169,0.000659153,FALSE,NA,NA,NA,NA,NA,NA,2,NA
105,1,119408889,120345066,TRUE,245,1869,0.000338368,0.00013305,0.00722455,0.0114243,TRUE,0.336707,0.336707,FALSE,-0.46278,1,0.324903,2,NA
106,1,120345067,145803848,TRUE,63,262,9.4571e-05,0.000137237,0.0888862,0.000146299,FALSE,NA,NA,NA,NA,NA,NA,2,NA
107,1,145803849,147083835,TRUE,130,1584,0.00010498,7.35851e-05,0.137599,0.0410053,FALSE,NA,NA,NA,NA,NA,NA,2,NA
108,1,147083836,149716037,TRUE,129,907,3.64514e-05,5.43774e-05,0.337153,0.0993969,FALSE,NA,NA,NA,NA,NA,NA,2,NA
109,1,149716038,151146407,TRUE,173,2045,NA,0.000118072,NA,0.0100781,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD"
110,1,151146408,152535630,TRUE,268,2022,0.000220048,0.000148808,0.0607595,0.00727497,FALSE,NA,NA,NA,NA,NA,NA,2,NA
111,1,152535631,153410809,TRUE,179,1698,9.96721e-05,0.000152317,0.184066,0.00151121,FALSE,NA,NA,NA,NA,NA,NA,2,NA
112,1,153410810,154685545,TRUE,282,1939,0.000291504,0.000307041,0.0235138,2.53141e-06,TRUE,0.223485,0.223485,FALSE,-0.38889,0.93813,0.417538,2,NA
113,1,154685546,156813845,TRUE,519,2822,0.0017026,0.0002496,8.85463e-15,0.00178242,TRUE,-0.0155543,-0.0155543,FALSE,-0.44446,0.35494,0.930681,2,NA
114,1,156813846,158081627,TRUE,404,2989,7.21787e-05,0.000148528,0.325483,0.0215116,FALSE,NA,NA,NA,NA,NA,NA,2,NA
115,1,158081628,158900369,TRUE,197,2302,0.000194741,1.73699e-06,0.0553769,0.472679,FALSE,NA,NA,NA,NA,NA,NA,2,NA
116,1,158900370,159882515,TRUE,260,2091,NA,0.00012449,NA,0.0191019,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD"
117,1,159882516,161054076,TRUE,390,2425,NA,0.000170534,NA,0.0105687,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD"
118,1,161054077,161945442,TRUE,218,1784,5.92949e-05,6.30622e-05,0.306632,0.116651,FALSE,NA,NA,NA,NA,NA,NA,2,NA
119,1,161945443,163141862,TRUE,429,2986,0.000337733,0.00023364,0.0291003,0.00138531,TRUE,-0.769196,-0.769196,FALSE,-1,-0.10988,0.0207212,2,NA
120,1,163141863,163854567,TRUE,176,1868,NA,0.000119372,NA,0.008534,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD"
121,1,163854568,164726579,TRUE,254,1787,NA,0.000144869,NA,0.00773361,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD"
122,1,164726580,165553812,TRUE,327,2118,0.000267415,0.000185466,0.0417358,0.00308258,TRUE,0.517073,0.517073,FALSE,-0.25095,1,0.155436,2,NA
123,1,165553813,166458031,TRUE,285,1831,0.0002601,7.86878e-05,0.0379344,0.101653,FALSE,NA,NA,NA,NA,NA,NA,2,NA
124,1,166458032,167163954,TRUE,192,1970,NA,0.000140215,NA,0.00393913,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD"
125,1,167163955,168179086,TRUE,333,2016,0.00014647,0.000151292,0.167508,0.0130327,FALSE,NA,NA,NA,NA,NA,NA,2,NA
126,1,168179087,169521551,TRUE,409,3398,0.000474744,0.000246464,0.0038212,0.000604209,TRUE,0.00764505,0.00764505,FALSE,-0.71371,0.58766,0.977637,2,NA
127,1,169521552,170193207,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
128,1,170193208,171044255,TRUE,180,1791,0.000289806,3.76196e-05,0.00741023,0.208373,FALSE,NA,NA,NA,NA,NA,NA,2,NA
129,1,171044256,172465153,TRUE,292,3231,0.0001084,0.00038009,0.218348,1.7169e-08,FALSE,NA,NA,NA,NA,NA,NA,2,NA
130,1,172465154,173582511,TRUE,270,1775,5.40022e-05,0.000180445,0.337171,0.00179527,FALSE,NA,NA,NA,NA,NA,NA,2,NA
131,1,173582512,175385220,TRUE,179,2986,8.28798e-05,0.000190314,0.222996,0.00014568,FALSE,NA,NA,NA,NA,NA,NA,2,NA
132,1,175385221,176449096,TRUE,239,2003,0.000221312,0.000157004,0.0487204,0.00389977,TRUE,0.575159,0.575159,FALSE,-0.2174,1,0.13359,2,NA
133,1,176449097,177746472,TRUE,266,2302,0.000358465,7.71594e-05,0.00626738,0.0936112,FALSE,NA,NA,NA,NA,NA,NA,2,NA
134,1,177746473,178915113,TRUE,221,2213,0.000282864,0.000181244,0.0146479,0.000784655,TRUE,0.555652,0.555652,FALSE,-0.07652,1,0.0772353,2,NA
135,1,178915114,180221608,TRUE,233,3393,0.00016808,0.000230857,0.094987,5.3938e-05,FALSE,NA,NA,NA,NA,NA,NA,2,NA
136,1,180221609,181324205,TRUE,266,2303,0.000137024,0.000170258,0.155074,0.00287608,FALSE,NA,NA,NA,NA,NA,NA,2,NA
137,1,181324206,182420540,TRUE,315,2430,NA,0.0001325,NA,0.0213963,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD"
138,1,182420541,183920616,TRUE,328,3125,0.00049067,0.000543697,0.00129648,5.85698e-13,TRUE,-0.403546,-0.403546,FALSE,-0.98161,-0.03684,0.032174,2,NA
139,1,183920617,184953089,TRUE,239,1958,0.000106323,0.000165389,0.202368,0.00261251,FALSE,NA,NA,NA,NA,NA,NA,2,NA
140,1,184953090,186179447,TRUE,234,1570,0.000256948,0.000183051,0.0275874,0.0010835,TRUE,0.286893,0.286893,FALSE,-0.48748,1,0.393275,2,NA
141,1,186179448,187072605,TRUE,165,1837,7.66459e-05,6.19434e-05,0.229933,0.087865,FALSE,NA,NA,NA,NA,NA,NA,2,NA
142,1,187072606,187757076,TRUE,159,1748,NA,0.000108073,NA,0.0116618,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD"
143,1,187757077,188625772,TRUE,144,2636,0.00013347,6.9203e-05,0.0982851,0.0577347,FALSE,NA,NA,NA,NA,NA,NA,2,NA
144,1,188625773,189904637,TRUE,163,3054,0.000279057,0.000130037,0.00922574,0.0075422,TRUE,-0.637319,-0.637319,FALSE,-1,0.04517,0.0662191,2,NA
145,1,189904638,191419275,TRUE,212,3300,9.52907e-05,0.000121908,0.211533,0.0127008,FALSE,NA,NA,NA,NA,NA,NA,2,NA
146,1,191419276,192468373,TRUE,194,2144,9.24483e-05,0.000102406,0.209899,0.0232406,FALSE,NA,NA,NA,NA,NA,NA,2,NA
147,1,192468374,193575516,TRUE,224,1865,0.000132021,4.04559e-05,0.148757,0.221718,FALSE,NA,NA,NA,NA,NA,NA,2,NA
148,1,193575517,194365688,TRUE,158,2192,0.000138069,7.04982e-05,0.0990095,0.0642782,FALSE,NA,NA,NA,NA,NA,NA,2,NA
149,1,194365689,195161235,TRUE,118,2366,0.000207071,3.30621e-05,0.0157255,0.18827,FALSE,NA,NA,NA,NA,NA,NA,2,NA
150,1,195161236,196179110,TRUE,211,2212,NA,8.54223e-05,NA,0.0527184,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD"
151,1,196179111,197935821,TRUE,241,2283,0.000214966,0.000136725,0.0552671,0.00903715,FALSE,NA,NA,NA,NA,NA,NA,2,NA
152,1,197935822,199263389,TRUE,288,2824,0.000291884,0.000306641,0.0242736,3.44939e-06,TRUE,0.190466,0.190466,FALSE,-0.4646,0.90367,0.492701,2,NA
153,1,199263390,200134005,TRUE,199,2406,0.000233198,0.000137335,0.0279916,0.00497069,TRUE,-0.0247729,-0.0247729,FALSE,-1,0.8099,0.946071,2,NA
154,1,200134006,201067952,TRUE,248,2031,0.000201129,0.00017296,0.067004,0.00191184,FALSE,NA,NA,NA,NA,NA,NA,2,NA
155,1,201067953,202583884,TRUE,578,3251,0.000281918,0.000199705,0.0827738,0.0117989,FALSE,NA,NA,NA,NA,NA,NA,2,NA
156,1,202583885,204092537,TRUE,523,3143,0.0002388,0.000354625,0.107767,2.61282e-05,FALSE,NA,NA,NA,NA,NA,NA,2,NA
157,1,204092538,205009623,TRUE,321,1990,0.000257927,0.000255941,0.0496654,0.000120228,TRUE,-0.285073,-0.285073,FALSE,-1,0.40642,0.384799,2,NA
158,1,205009624,205917548,TRUE,307,2180,0.000326786,0.000163478,0.0176143,0.00641425,TRUE,0.242366,0.242366,FALSE,-0.62398,1,0.485665,2,NA
159,1,205917549,208162951,TRUE,408,3028,0.000504235,0.000380735,0.00279531,1.05639e-06,TRUE,-0.00452907,-0.00452907,FALSE,-0.57033,0.46443,0.984008,2,NA
160,1,208162952,209711169,TRUE,594,3287,0.000317325,NA,0.0634732,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"BIP"
161,1,209711170,211082892,TRUE,403,3064,0.000377537,0.000428398,0.0150202,4.01599e-08,TRUE,0.0968265,0.0968265,FALSE,-0.50804,0.64258,0.688844,2,NA
162,1,211082893,212347582,TRUE,320,3409,7.75603e-05,0.000380534,0.294341,1.08429e-07,FALSE,NA,NA,NA,NA,NA,NA,2,NA
163,1,212347583,213958292,TRUE,465,3575,0.000211679,0.000162311,0.120778,0.0204971,FALSE,NA,NA,NA,NA,NA,NA,2,NA
164,1,213958293,214783872,TRUE,287,1905,0.000132881,0.000186243,0.174273,0.00192063,FALSE,NA,NA,NA,NA,NA,NA,2,NA
165,1,214783873,215825791,TRUE,193,1807,0.000304823,0.000165327,0.00711056,0.00126492,TRUE,0.161748,0.161748,FALSE,-0.6059,0.89597,0.59553,2,NA
166,1,215825792,216658126,TRUE,267,1859,0.000140169,0.000158893,0.152387,0.00505981,FALSE,NA,NA,NA,NA,NA,NA,2,NA
167,1,216658127,217352165,TRUE,270,1790,0.000148534,0.000153565,0.138945,0.00660644,FALSE,NA,NA,NA,NA,NA,NA,2,NA
168,1,217352166,218563960,TRUE,342,3223,9.67501e-05,0.000266032,0.259464,9.41482e-05,FALSE,NA,NA,NA,NA,NA,NA,2,NA
169,1,218563961,220073132,TRUE,321,3632,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,0,"MDD,BIP"
170,1,220073133,220978151,TRUE,212,1969,0.000132593,0.00015676,0.138454,0.00248458,FALSE,NA,NA,NA,NA,NA,NA,2,NA
171,1,220978152,221856864,TRUE,190,2050,NA,0.00025292,NA,3.70876e-06,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD"
172,1,221856865,222763597,TRUE,259,1717,0.000233706,0.000288917,0.045492,3.23746e-06,TRUE,0.163811,0.163811,FALSE,-0.57857,1,0.586121,2,NA
173,1,222763598,223654902,TRUE,226,1782,0.000235155,0.000248155,0.034393,1.75865e-05,TRUE,0.38046,0.38046,FALSE,-0.27922,1,0.210965,2,NA
174,1,223654903,224943337,TRUE,280,2307,0.000454367,2.86567e-05,0.00122897,0.306948,FALSE,NA,NA,NA,NA,NA,NA,2,NA
175,1,224943338,226534711,TRUE,327,3297,7.08012e-07,0.000194439,0.487732,0.002135,FALSE,NA,NA,NA,NA,NA,NA,2,NA
