"locus","chr","start","stop","processed","K","n_snps","h2_SCZ","h2_BIP","p_SCZ","p_BIP","gate_pass","rho_hat","rho_raw","paramlim_drop","rho_lower","rho_upper","bivar_p","n_pheno_returned","dropped_pheno"
44,1,49185415,51777577,TRUE,218,2835,0.000442741,0.000107605,0.00520478,0.0239185,TRUE,0.534175,0.534175,FALSE,-0.25672,1,0.141307,2,NA
45,1,51777578,53114186,TRUE,158,1874,9.86693e-05,8.80032e-05,0.232104,0.030989,FALSE,NA,NA,NA,NA,NA,NA,2,NA
46,1,53114187,54771293,TRUE,483,3502,0.000832728,0.000371707,0.000561168,7.90574e-06,TRUE,0.218664,0.218664,FALSE,-0.27201,0.64086,0.319284,2,NA
47,1,54771294,55727134,TRUE,400,2455,9.62151e-05,0.000197543,0.323299,0.00424292,FALSE,NA,NA,NA,NA,NA,NA,2,NA
48,1,55727135,56799636,TRUE,287,2821,0.000967002,0.000352068,1.72009e-06,1.5288e-07,TRUE,0.378583,0.378583,FALSE,0.04186,0.70752,0.0353394,2,NA
49,1,56799637,57529670,TRUE,267,1875,0.000418493,9.62998e-06,0.012619,0.423185,FALSE,NA,NA,NA,NA,NA,NA,2,NA
50,1,57529671,58387483,TRUE,261,2024,0.000323638,1.80453e-05,0.0390962,0.367218,FALSE,NA,NA,NA,NA,NA,NA,2,NA
51,1,58387484,59889045,TRUE,421,3353,0.000701524,0.000219247,0.00157183,0.0020853,TRUE,0.295892,0.295892,FALSE,-0.34036,0.88619,0.287675,2,NA
52,1,59889046,61377615,TRUE,386,2742,0.00107517,0.000208084,3.32831e-06,0.00253682,TRUE,0.497325,0.497325,FALSE,0.06286,1,0.0341949,2,NA
53,1,61377616,62778733,TRUE,509,3207,0.000538266,0.000305751,0.017769,0.000202853,TRUE,0.500169,0.500169,FALSE,-0.09512,1,0.0890064,2,NA
54,1,62778734,64344226,TRUE,413,3128,0.000281045,0.000186155,0.104727,0.0065912,FALSE,NA,NA,NA,NA,NA,NA,2,NA
55,1,64344227,65894184,TRUE,407,3093,0.000542267,0.000161322,0.00926258,0.0155182,TRUE,-0.307512,-0.307512,FALSE,-1,0.37173,0.383037,2,NA
56,1,65894185,66778015,TRUE,169,1921,0.000506341,NA,0.000677386,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"BIP"
57,1,66778016,67761890,TRUE,229,2350,0.00013926,2.34786e-05,0.196871,0.32023,FALSE,NA,NA,NA,NA,NA,NA,2,NA
58,1,67761891,68633860,TRUE,269,1851,0.000870217,0.00016724,7.53875e-06,0.00390889,TRUE,0.00109557,0.00109557,FALSE,-0.68892,0.4751,0.996477,2,NA
59,1,68633861,69438909,TRUE,194,1878,0.000172052,5.6953e-05,0.131031,0.12523,FALSE,NA,NA,NA,NA,NA,NA,2,NA
60,1,69438910,70992905,TRUE,364,2866,0.00139775,0.000234275,2.59998e-09,0.000628154,TRUE,0.403251,0.403251,FALSE,0.02852,0.8036,0.0409208,2,NA
61,1,70992906,72513119,TRUE,269,2707,0.00093269,0.000177336,2.09308e-06,0.00220218,TRUE,0.452982,0.452982,FALSE,-0.00569,0.96584,0.0546285,2,NA
62,1,72513120,73992170,TRUE,164,2759,0.000729905,0.000211761,4.10713e-06,2.22204e-05,TRUE,0.813229,0.813229,FALSE,0.4846,1,0.000137133,2,NA
63,1,73992171,75132092,TRUE,204,1885,0.000731419,1.44004e-05,1.70033e-05,0.375874,FALSE,NA,NA,NA,NA,NA,NA,2,NA
64,1,75132093,76097247,TRUE,154,1863,0.000312502,0.000111139,0.0151921,0.00865014,TRUE,0.171292,0.171292,FALSE,-0.91547,0.98837,0.640937,2,NA
65,1,76097248,76977915,TRUE,218,2280,0.000438778,0.000155757,0.00555901,0.00270567,TRUE,0.353877,0.353877,FALSE,-0.38354,1,0.25803,2,NA
66,1,76977916,77895394,TRUE,232,2209,0.000351441,0.000194672,0.0217692,0.000520336,TRUE,0.912517,0.912517,FALSE,0.39898,1,0.00483225,2,NA
67,1,77895395,79065286,TRUE,210,2231,0.000171444,0.000265329,0.142109,4.71008e-06,FALSE,NA,NA,NA,NA,NA,NA,2,NA
68,1,79065287,80099353,TRUE,191,2712,0.000162512,0.000217043,0.142475,3.89563e-05,FALSE,NA,NA,NA,NA,NA,NA,2,NA
69,1,80099354,80781442,TRUE,132,1768,0.000118358,5.41879e-05,0.172527,0.0975111,FALSE,NA,NA,NA,NA,NA,NA,2,NA
70,1,80781443,82123368,TRUE,419,3412,0.000605363,0.000216038,0.0051418,0.0032527,TRUE,0.346996,0.346996,FALSE,-0.36442,1,0.252834,2,NA
71,1,82123369,83461215,TRUE,328,3146,0.0003913,0.000190697,0.0280093,0.00249233,TRUE,0.444562,0.444562,FALSE,-0.34456,1,0.20154,2,NA
72,1,83461216,84728347,TRUE,262,2327,0.000609185,0.000330549,0.000748964,2.02094e-07,TRUE,0.232814,0.232814,FALSE,-0.2323,0.65164,0.279523,2,NA
73,1,84728348,86017267,TRUE,397,3093,0.000444971,0.000298883,0.0241262,5.59272e-05,TRUE,0.0783004,0.0783004,FALSE,-0.78506,0.68017,0.790233,2,NA
74,1,86017268,86761554,TRUE,178,1967,0.000552427,0.000190174,0.000325421,0.00015274,TRUE,-0.0937769,-0.0937769,FALSE,-0.80045,0.36337,0.704285,2,NA
75,1,86761555,87667572,TRUE,179,1897,NA,0.000192922,NA,0.000135656,FALSE,NA,NA,NA,NA,NA,NA,1,"SCZ"
76,1,87667573,88656689,TRUE,354,1900,0.000532951,9.71436e-05,0.00714845,0.077508,FALSE,NA,NA,NA,NA,NA,NA,2,NA
77,1,88656690,89753964,TRUE,227,2175,0.000276404,9.78263e-05,0.0519027,0.0389187,FALSE,NA,NA,NA,NA,NA,NA,2,NA
78,1,89753965,90941549,TRUE,324,2147,0.000571431,0.000145238,0.00316053,0.0149932,TRUE,-0.269877,-0.269877,FALSE,-1,0.36615,0.415572,2,NA
79,1,90941550,91870059,TRUE,247,1971,0.000609229,8.11517e-05,0.000574027,0.0781679,FALSE,NA,NA,NA,NA,NA,NA,2,NA
80,1,91870060,92904465,TRUE,265,2044,NA,0.000300491,NA,2.33045e-06,FALSE,NA,NA,NA,NA,NA,NA,1,"SCZ"
81,1,92904466,94168576,TRUE,186,1946,NA,4.05473e-05,NA,0.196543,FALSE,NA,NA,NA,NA,NA,NA,1,"SCZ"
82,1,94168577,95122541,TRUE,264,2030,0.000205094,0.000187983,0.127585,0.001632,FALSE,NA,NA,NA,NA,NA,NA,2,NA
83,1,95122542,96147576,TRUE,296,2559,0.000666556,0.00041298,0.000562868,2.77318e-09,TRUE,0.494212,0.494212,FALSE,0.13104,0.90678,0.0133594,2,NA
84,1,96147577,97721186,TRUE,316,3144,0.00109509,0.000300574,3.14927e-07,8.46169e-06,TRUE,0.47082,0.47082,FALSE,0.12719,0.80766,0.0114862,2,NA
85,1,97721187,99425000,TRUE,414,3674,0.00163592,0.000216587,1.0007e-10,0.00238905,TRUE,0.331545,0.331545,FALSE,-0.06542,0.77012,0.0984859,2,NA
86,1,99425001,100269207,TRUE,250,2044,0.000122093,0.000214339,0.236143,0.000249315,FALSE,NA,NA,NA,NA,NA,NA,2,NA
87,1,100269208,101188315,TRUE,154,1725,0.000262134,0.000210543,0.0336385,2.12349e-05,TRUE,-0.176928,-0.176928,FALSE,-1,0.45206,0.573794,2,NA
88,1,101188316,102424611,TRUE,339,3031,0.000655472,0.000207964,0.0011692,0.00146311,TRUE,0.64966,0.64966,FALSE,0.14598,1,0.0175748,2,NA
89,1,102424612,103148412,TRUE,133,1832,0.000142285,0.000132725,0.132639,0.00159464,FALSE,NA,NA,NA,NA,NA,NA,2,NA
90,1,103148413,103784541,TRUE,80,1950,0.000266997,1.51395e-08,0.00673314,0.478779,FALSE,NA,NA,NA,NA,NA,NA,2,NA
91,1,103784542,104984435,TRUE,169,1940,0.000267032,0.000164776,0.0373685,0.000794365,TRUE,0.187734,0.187734,FALSE,-0.84306,0.98687,0.594072,2,NA
92,1,104984436,106089656,TRUE,208,3327,0.000293324,0.000162034,0.0369223,0.0016392,TRUE,0.369003,0.369003,FALSE,-0.49746,1,0.304769,2,NA
93,1,106089657,106864947,TRUE,212,1815,0.00031392,9.56526e-05,0.029789,0.0373595,TRUE,0.468546,0.468546,FALSE,-0.68235,1,0.288382,2,NA
94,1,106864948,107874653,TRUE,242,1893,3.04964e-05,0.000169712,0.417531,0.00197893,FALSE,NA,NA,NA,NA,NA,NA,2,NA
95,1,107874654,109271449,TRUE,359,2826,0.000309805,0.000242926,0.0729801,0.000402117,FALSE,NA,NA,NA,NA,NA,NA,2,NA
96,1,109271450,110224230,TRUE,291,2002,0.000352805,0.000200396,0.0340021,0.00104671,TRUE,0.519843,0.519843,FALSE,-0.19824,1,0.130455,2,NA
97,1,110224231,111134062,TRUE,353,1753,NA,0.000333076,NA,4.16162e-06,FALSE,NA,NA,NA,NA,NA,NA,1,"SCZ"
98,1,111134063,112489248,TRUE,459,3411,0.000868686,0.00044026,0.000272,7.94725e-08,TRUE,0.0699276,0.0699276,FALSE,-0.37854,0.43393,0.72168,2,NA
99,1,112489249,113418037,TRUE,295,1787,0.000245269,0.00021579,0.0989019,0.000519672,FALSE,NA,NA,NA,NA,NA,NA,2,NA
100,1,113418038,114664387,TRUE,269,2058,0.000266975,0.000271834,0.0741954,2.27859e-05,FALSE,NA,NA,NA,NA,NA,NA,2,NA
101,1,114664388,116207297,TRUE,401,3561,0.00151658,0.00028719,6.02153e-10,8.0163e-05,TRUE,0.544808,0.544808,FALSE,0.22621,0.89239,0.00241464,2,NA
102,1,116207298,117046311,TRUE,254,1776,0.00025691,0.000139346,0.0744644,0.00956156,FALSE,NA,NA,NA,NA,NA,NA,2,NA
103,1,117046312,118118667,TRUE,313,1916,0.000391088,0.000200332,0.026211,0.00144277,TRUE,-0.299065,-0.299065,FALSE,-1,0.34362,0.374884,2,NA
104,1,118118668,119408888,TRUE,264,2578,0.000454079,0.00018537,0.00803324,0.00144288,TRUE,0.0847017,0.0847017,FALSE,-0.80222,0.71732,0.783046,2,NA
105,1,119408889,120345066,TRUE,245,1877,NA,0.000126827,NA,0.0147707,FALSE,NA,NA,NA,NA,NA,NA,1,"SCZ"
106,1,120345067,145803848,TRUE,111,536,NA,0.000114499,NA,0.0208904,FALSE,NA,NA,NA,NA,NA,NA,1,"SCZ"
107,1,145803849,147083835,TRUE,133,1618,0.000123648,6.83422e-05,0.163958,0.0541841,FALSE,NA,NA,NA,NA,NA,NA,2,NA
108,1,147083836,149716037,TRUE,129,917,3.20124e-05,5.48887e-05,0.38465,0.097527,FALSE,NA,NA,NA,NA,NA,NA,2,NA
109,1,149716038,151146407,TRUE,175,2069,0.000596514,0.000128885,0.000170962,0.00626902,TRUE,0.521351,0.521351,FALSE,-0.02872,1,0.0691057,2,NA
110,1,151146408,152535630,TRUE,271,2049,0.000497437,0.000140372,0.00469912,0.0107378,TRUE,0.053269,0.053269,FALSE,-1,0.75431,0.873146,2,NA
111,1,152535631,153410809,TRUE,184,1727,0.000250418,0.000167545,0.0511467,0.000719304,FALSE,NA,NA,NA,NA,NA,NA,2,NA
112,1,153410810,154685545,TRUE,288,1968,0.000286319,0.000309679,0.0662411,2.6971e-06,FALSE,NA,NA,NA,NA,NA,NA,2,NA
113,1,154685546,156813845,TRUE,527,2854,0.00108779,0.000410529,3.11543e-05,2.3775e-06,TRUE,-0.0943998,-0.0943998,FALSE,-0.57845,0.27497,0.6263,2,NA
114,1,156813846,158081627,TRUE,404,3024,0.000427346,0.000189217,0.0294279,0.00555387,TRUE,-0.195414,-0.195414,FALSE,-1,0.50872,0.590137,2,NA
115,1,158081628,158900369,TRUE,200,2306,0.000191494,NA,0.112918,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"BIP"
116,1,158900370,159882515,TRUE,265,2130,0.000645412,0.000143573,0.000469051,0.00959763,TRUE,-0.56942,-0.56942,FALSE,-1,0.0075,0.0557328,2,NA
117,1,159882516,161054076,TRUE,395,2451,0.000130486,0.000167723,0.271155,0.0120806,FALSE,NA,NA,NA,NA,NA,NA,2,NA
118,1,161054077,161945442,TRUE,224,1809,3.54107e-05,8.6523e-05,0.403212,0.056947,FALSE,NA,NA,NA,NA,NA,NA,2,NA
119,1,161945443,163141862,TRUE,423,3032,0.000277756,0.000230115,0.112028,0.00155568,FALSE,NA,NA,NA,NA,NA,NA,2,NA
120,1,163141863,163854567,TRUE,178,1883,0.000310114,0.000132281,0.0215071,0.00466649,TRUE,0.522554,0.522554,FALSE,-0.29933,1,0.149032,2,NA
121,1,163854568,164726579,TRUE,256,1805,0.000418346,0.000171954,0.0116357,0.00238003,TRUE,-0.250903,-0.250903,FALSE,-1,0.3843,0.436871,2,NA
122,1,164726580,165553812,TRUE,328,2130,0.000477117,0.000183065,0.0107895,0.00345719,TRUE,0.845562,0.845562,FALSE,0.31307,1,0.00962848,2,NA
123,1,165553813,166458031,TRUE,290,1863,0.00052839,8.54127e-05,0.00401537,0.08681,FALSE,NA,NA,NA,NA,NA,NA,2,NA
124,1,166458032,167163954,TRUE,192,1984,0.00059409,0.000148211,0.000222211,0.00261413,TRUE,0.464719,0.464719,FALSE,-0.08642,1,0.0879894,2,NA
125,1,167163955,168179086,TRUE,335,2037,0.00064349,0.000142267,0.00133044,0.0182476,TRUE,-0.343481,-0.343481,FALSE,-1,0.2761,0.288713,2,NA
126,1,168179087,169521551,TRUE,416,3453,0.00025637,0.000237881,0.12717,0.00095178,FALSE,NA,NA,NA,NA,NA,NA,2,NA
127,1,169521552,170193207,TRUE,121,1964,0.000107067,NA,0.183841,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"BIP"
128,1,170193208,171044255,TRUE,183,1832,1.99112e-05,5.12886e-05,0.432826,0.141534,FALSE,NA,NA,NA,NA,NA,NA,2,NA
129,1,171044256,172465153,TRUE,295,3265,0.000641689,0.000386988,0.000752056,1.24045e-08,TRUE,0.255082,0.255082,FALSE,-0.18668,0.6687,0.212569,2,NA
130,1,172465154,173582511,TRUE,275,1797,0.000417115,0.000220858,0.0140027,0.000262521,TRUE,0.0282085,0.0282085,FALSE,-0.90775,0.61731,0.924946,2,NA
131,1,173582512,175385220,TRUE,179,3020,0.000566312,8.0952e-05,0.000242334,0.0480786,TRUE,0.719778,0.719778,FALSE,0.08942,1,0.0392416,2,NA
132,1,175385221,176449096,TRUE,243,2029,0.000572036,0.00014912,0.00104314,0.00592928,TRUE,0.65759,0.65759,FALSE,0.09832,1,0.0272425,2,NA
133,1,176449097,177746472,TRUE,269,2337,0.00107287,8.32328e-05,9.40527e-08,0.0797696,FALSE,NA,NA,NA,NA,NA,NA,2,NA
134,1,177746473,178915113,TRUE,225,2236,0.000659775,0.000177121,0.000134816,0.001066,TRUE,0.282436,0.282436,FALSE,-0.31096,0.78267,0.26607,2,NA
135,1,178915114,180221608,TRUE,234,3435,0.000172849,0.000238213,0.150571,3.58445e-05,FALSE,NA,NA,NA,NA,NA,NA,2,NA
136,1,180221609,181324205,TRUE,267,2318,0.000351667,0.000174089,0.0291519,0.00244536,TRUE,0.510393,0.510393,FALSE,-0.24465,1,0.14835,2,NA
137,1,181324206,182420540,TRUE,317,2451,0.00057995,0.000158776,0.00263492,0.0084102,TRUE,0.583311,0.583311,FALSE,-0.01923,1,0.0632619,2,NA
138,1,182420541,183920616,TRUE,334,3156,0.000482451,0.000554774,0.0106801,3.70098e-13,TRUE,0.404326,0.404326,FALSE,-0.01081,0.95592,0.0602637,2,NA
139,1,183920617,184953089,TRUE,241,1957,0.00068935,0.000161478,0.000130793,0.00317966,TRUE,0.201411,0.201411,FALSE,-0.44737,0.73641,0.449343,2,NA
140,1,184953090,186179447,TRUE,235,1586,0.000307814,0.000185311,0.0398832,0.000993929,TRUE,0.201364,0.201364,FALSE,-0.78123,1,0.568445,2,NA
141,1,186179448,187072605,TRUE,167,1856,0.000372702,5.97333e-05,0.00692894,0.0968225,FALSE,NA,NA,NA,NA,NA,NA,2,NA
142,1,187072606,187757076,TRUE,161,1759,0.000743666,9.1457e-05,2.03511e-06,0.02659,TRUE,0.0974899,0.0974899,FALSE,-0.75309,0.72902,0.73837,2,NA
143,1,187757077,188625772,TRUE,144,2651,0.000148561,6.05042e-05,0.130103,0.0821936,FALSE,NA,NA,NA,NA,NA,NA,2,NA
144,1,188625773,189904637,TRUE,165,3082,0.000598609,0.000127619,0.00011002,0.00879025,TRUE,0.0417837,0.0417837,FALSE,-0.79401,0.63332,0.88515,2,NA
145,1,189904638,191419275,TRUE,217,3331,0.000435368,0.000124296,0.00580585,0.0122652,TRUE,0.755421,0.755421,FALSE,0.14843,1,0.0299407,2,NA
146,1,191419276,192468373,TRUE,194,2148,0.000170147,0.000124614,0.133852,0.00853555,FALSE,NA,NA,NA,NA,NA,NA,2,NA
147,1,192468374,193575516,TRUE,230,1884,0.000454659,5.34665e-05,0.00548142,0.163305,FALSE,NA,NA,NA,NA,NA,NA,2,NA
148,1,193575517,194365688,TRUE,161,2217,0.000294872,8.71794e-05,0.0233532,0.033622,TRUE,0.674383,0.674383,FALSE,-0.20469,1,0.117649,2,NA
149,1,194365689,195161235,TRUE,121,2388,0.000109871,2.75465e-05,0.177867,0.230178,FALSE,NA,NA,NA,NA,NA,NA,2,NA
150,1,195161236,196179110,TRUE,215,2233,0.00046659,0.000116695,0.00334698,0.0161127,TRUE,0.145106,0.145106,FALSE,-0.90769,0.87452,0.671568,2,NA
151,1,196179111,197935821,TRUE,248,2324,0.000687675,0.000150928,0.000148823,0.00532098,TRUE,0.416057,0.416057,FALSE,-0.17521,1,0.131348,2,NA
152,1,197935822,199263389,TRUE,290,2843,0.000781588,0.00032984,7.08838e-05,8.72657e-07,TRUE,0.19742,0.19742,FALSE,-0.24366,0.56716,0.327853,2,NA
153,1,199263390,200134005,TRUE,203,2428,0.000407103,0.000177233,0.00703691,0.000646692,TRUE,-0.0177184,-0.0177184,FALSE,-0.97874,0.57929,0.952747,2,NA
154,1,200134006,201067952,TRUE,253,2051,0.00110249,0.000192131,2.45809e-08,0.000821468,TRUE,0.226913,0.226913,FALSE,-0.22097,0.63349,0.279818,2,NA
155,1,201067953,202583884,TRUE,586,3280,0.000272213,0.000246168,0.151879,0.00309795,FALSE,NA,NA,NA,NA,NA,NA,2,NA
156,1,202583885,204092537,TRUE,528,3171,0.000736175,0.000351162,0.00269526,3.29954e-05,TRUE,0.288284,0.288284,FALSE,-0.26553,0.7943,0.236019,2,NA
157,1,204092538,205009623,TRUE,325,1999,0.00106197,0.000329883,8.66868e-07,2.2261e-06,TRUE,0.13684,0.13684,FALSE,-0.26385,0.47359,0.455539,2,NA
158,1,205009624,205917548,TRUE,313,2218,0.000417685,0.000193976,0.0196598,0.00197108,TRUE,0.377065,0.377065,FALSE,-0.43132,1,0.255842,2,NA
159,1,205917549,208162951,TRUE,452,3295,0.000640624,0.000385606,0.00476144,3.64703e-06,TRUE,0.239433,0.239433,FALSE,-0.31478,0.7369,0.319028,2,NA
160,1,208162952,209711169,TRUE,598,3319,0.000944998,2.17986e-05,0.000432695,0.393578,FALSE,NA,NA,NA,NA,NA,NA,2,NA
161,1,209711170,211082892,TRUE,408,3102,0.00100636,0.000434288,1.6478e-05,3.39746e-08,TRUE,0.0830455,0.0830455,FALSE,-0.32275,0.42492,0.645084,2,NA
162,1,211082893,212347582,TRUE,321,3441,0.000550955,0.0003724,0.00415764,1.91392e-07,TRUE,0.321488,0.321488,FALSE,-0.16938,0.81992,0.164028,2,NA
163,1,212347583,213958292,TRUE,469,3613,0.000772735,0.000135083,0.00104506,0.0438603,TRUE,0.488933,0.488933,FALSE,-0.27369,1,0.158708,2,NA
164,1,213958293,214783872,TRUE,287,1911,0.00061134,0.000184267,0.00110529,0.00211486,TRUE,0.16108,0.16108,FALSE,-0.57727,0.71293,0.563418,2,NA
165,1,214783873,215825791,TRUE,196,1832,0.000471399,0.000177074,0.00227913,0.00071601,TRUE,0.315889,0.315889,FALSE,-0.33794,0.91253,0.261299,2,NA
166,1,215825792,216658126,TRUE,273,1888,8.70818e-05,0.000171069,0.30926,0.00328511,FALSE,NA,NA,NA,NA,NA,NA,2,NA
167,1,216658127,217352165,TRUE,272,1801,0.000112566,0.000152793,0.260172,0.00698123,FALSE,NA,NA,NA,NA,NA,NA,2,NA
168,1,217352166,218563960,TRUE,345,3241,0.000391586,0.00030221,0.0309734,1.4894e-05,TRUE,-0.606446,-0.606446,FALSE,-1,-0.01941,0.0398676,2,NA
169,1,218563961,220073132,TRUE,325,3677,0.000488358,NA,0.00916864,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"BIP"
