"locus","chr","start","stop","processed","K","n_snps","h2_ASD","h2_SCZ","p_ASD","p_SCZ","gate_pass","rho_hat","rho_raw","paramlim_drop","rho_lower","rho_upper","bivar_p"
25,1,22740288,23907045,TRUE,301,1904,NA,9.35523e-05,NA,0.303411,FALSE,NA,NA,NA,NA,NA,NA
26,1,23907046,25885138,TRUE,464,3189,NA,0.00072042,NA,0.0018623,FALSE,NA,NA,NA,NA,NA,NA
27,1,25885139,27992665,TRUE,357,2877,NA,0.000826208,NA,0.000115777,FALSE,NA,NA,NA,NA,NA,NA
28,1,27992666,29188426,TRUE,203,1878,NA,0.000487919,NA,0.00198782,FALSE,NA,NA,NA,NA,NA,NA
29,1,29188427,30405182,TRUE,321,2199,NA,0.000770652,NA,0.000146824,FALSE,NA,NA,NA,NA,NA,NA
30,1,30405183,31639217,TRUE,359,2877,7.10045e-06,0.00107411,0.485179,1.50137e-06,FALSE,NA,NA,NA,NA,NA,NA
31,1,31639218,33066846,TRUE,268,2093,NA,0.000450987,NA,0.00861479,FALSE,NA,NA,NA,NA,NA,NA
32,1,33066847,34371022,TRUE,291,2073,2.65473e-05,0.000373232,0.46869,0.0265938,FALSE,NA,NA,NA,NA,NA,NA
33,1,34371023,35201626,TRUE,315,1985,NA,0.000445415,NA,0.0143479,FALSE,NA,NA,NA,NA,NA,NA
34,1,35201627,36855139,TRUE,213,1520,0.000145921,0.000248409,0.360715,0.0654031,FALSE,NA,NA,NA,NA,NA,NA
35,1,36855140,38474036,TRUE,436,3216,NA,0.000603028,NA,0.00569565,FALSE,NA,NA,NA,NA,NA,NA
36,1,38474037,40200950,TRUE,425,3147,NA,0.000862052,NA,0.000195865,FALSE,NA,NA,NA,NA,NA,NA
37,1,40200951,41093875,TRUE,220,1798,0.000306399,0.000638376,0.243591,0.000176799,FALSE,NA,NA,NA,NA,NA,NA
38,1,41093876,41977966,TRUE,277,2110,NA,0.000634885,NA,0.000637558,FALSE,NA,NA,NA,NA,NA,NA
39,1,41977967,43512669,TRUE,287,2933,0.00136671,0.000653363,0.0061793,0.000565655,TRUE,0.184068,0.184068,FALSE,-0.45876,0.93953,0.517859
40,1,43512670,45167235,TRUE,365,2932,0.00048678,0.000666207,0.199508,0.00146271,FALSE,NA,NA,NA,NA,NA,NA
41,1,45167236,47257261,TRUE,270,3218,0.000272111,NA,0.286637,NA,FALSE,NA,NA,NA,NA,NA,NA
42,1,47257262,48105233,TRUE,179,1493,NA,0.000136888,NA,0.171983,FALSE,NA,NA,NA,NA,NA,NA
43,1,48105234,49185414,TRUE,280,1998,NA,0.000842518,NA,1.75349e-05,FALSE,NA,NA,NA,NA,NA,NA
44,1,49185415,51777577,TRUE,198,2742,NA,0.000453042,NA,0.00316583,FALSE,NA,NA,NA,NA,NA,NA
45,1,51777578,53114186,TRUE,150,1800,0.000445435,0.000106001,0.119028,0.20981,FALSE,NA,NA,NA,NA,NA,NA
46,1,53114187,54771293,TRUE,441,3409,0.000260744,0.000844022,0.335136,0.000289734,FALSE,NA,NA,NA,NA,NA,NA
47,1,54771294,55727134,TRUE,386,2412,NA,0.000108364,NA,0.300673,FALSE,NA,NA,NA,NA,NA,NA
48,1,55727135,56799636,TRUE,268,2740,0.000975046,0.000801178,0.0299114,2.68194e-05,TRUE,0.52806,0.52806,FALSE,-0.04469,1,0.0760603
49,1,56799637,57529670,TRUE,226,1782,9.32903e-06,0.000441494,0.47939,0.00565624,FALSE,NA,NA,NA,NA,NA,NA
50,1,57529671,58387483,TRUE,242,1964,0.000429262,0.000265332,0.181102,0.0645718,FALSE,NA,NA,NA,NA,NA,NA
51,1,58387484,59889045,TRUE,387,3275,NA,0.000523923,NA,0.00970607,FALSE,NA,NA,NA,NA,NA,NA
52,1,59889046,61377615,TRUE,364,2630,0.000930196,0.00111271,0.0588268,8.56382e-07,FALSE,NA,NA,NA,NA,NA,NA
53,1,61377616,62778733,TRUE,458,3066,NA,0.000595766,NA,0.00736777,FALSE,NA,NA,NA,NA,NA,NA
54,1,62778734,64344226,TRUE,376,3047,NA,0.000121639,NA,0.276705,FALSE,NA,NA,NA,NA,NA,NA
55,1,64344227,65894184,TRUE,357,2948,0.000569844,0.00041452,0.16099,0.0258639,FALSE,NA,NA,NA,NA,NA,NA
56,1,65894185,66778015,TRUE,155,1809,0.000810396,0.000462539,0.0216631,0.00102769,TRUE,0.519352,0.519352,FALSE,-0.16094,1,0.121359
57,1,66778016,67761890,TRUE,219,2302,0.000593027,0.000193174,0.0977706,0.117773,FALSE,NA,NA,NA,NA,NA,NA
58,1,67761891,68633860,TRUE,249,1795,0.000290565,0.00091189,0.266689,1.56089e-06,FALSE,NA,NA,NA,NA,NA,NA
59,1,68633861,69438909,TRUE,180,1823,NA,0.000167559,NA,0.128161,FALSE,NA,NA,NA,NA,NA,NA
60,1,69438910,70992905,TRUE,342,2774,NA,0.000995927,NA,4.3565e-06,FALSE,NA,NA,NA,NA,NA,NA
61,1,70992906,72513119,TRUE,257,2660,NA,0.00092406,NA,1.6359e-06,FALSE,NA,NA,NA,NA,NA,NA
62,1,72513120,73992170,TRUE,155,2702,0.000294224,0.000604086,0.214549,5.36324e-05,FALSE,NA,NA,NA,NA,NA,NA
63,1,73992171,75132092,TRUE,173,1798,NA,0.000702063,NA,9.62942e-06,FALSE,NA,NA,NA,NA,NA,NA
64,1,75132093,76097247,TRUE,141,1804,0.000287562,0.000312713,0.209087,0.0121214,FALSE,NA,NA,NA,NA,NA,NA
65,1,76097248,76977915,TRUE,205,2205,0.000154194,0.000443859,0.351297,0.00409937,FALSE,NA,NA,NA,NA,NA,NA
66,1,76977916,77895394,TRUE,216,2154,NA,0.000238286,NA,0.0730168,FALSE,NA,NA,NA,NA,NA,NA
67,1,77895395,79065286,TRUE,198,2181,NA,0.000111697,NA,0.230105,FALSE,NA,NA,NA,NA,NA,NA
68,1,79065287,80099353,TRUE,182,2586,0.000107428,0.000183003,0.384555,0.10963,FALSE,NA,NA,NA,NA,NA,NA
69,1,80099354,80781442,TRUE,125,1747,NA,0.000119978,NA,0.164012,FALSE,NA,NA,NA,NA,NA,NA
70,1,80781443,82123368,TRUE,388,3317,NA,0.000423775,NA,0.0285226,FALSE,NA,NA,NA,NA,NA,NA
71,1,82123369,83461215,TRUE,311,3090,NA,0.000330022,NA,0.0473935,FALSE,NA,NA,NA,NA,NA,NA
72,1,83461216,84728347,TRUE,243,2260,0.000417573,0.000549479,0.187799,0.00138947,FALSE,NA,NA,NA,NA,NA,NA
73,1,84728348,86017267,TRUE,366,3019,0.000584336,0.000497648,0.158074,0.0112923,FALSE,NA,NA,NA,NA,NA,NA
74,1,86017268,86761554,TRUE,173,1935,5.65515e-05,0.000661643,0.430139,2.65577e-05,FALSE,NA,NA,NA,NA,NA,NA
75,1,86761555,87667572,TRUE,157,1824,0.000501613,NA,0.0985018,NA,FALSE,NA,NA,NA,NA,NA,NA
76,1,87667573,88656689,TRUE,315,1824,9.19377e-05,0.000259973,0.422477,0.0944291,FALSE,NA,NA,NA,NA,NA,NA
77,1,88656690,89753964,TRUE,199,2084,0.000238886,0.000129686,0.281489,0.196729,FALSE,NA,NA,NA,NA,NA,NA
78,1,89753965,90941549,TRUE,301,2071,0.000661014,0.00055034,0.108156,0.00317495,FALSE,NA,NA,NA,NA,NA,NA
79,1,90941550,91870059,TRUE,238,1906,NA,0.000490064,NA,0.00330402,FALSE,NA,NA,NA,NA,NA,NA
80,1,91870060,92904465,TRUE,250,2010,7.6884e-05,NA,0.425277,NA,FALSE,NA,NA,NA,NA,NA,NA
81,1,92904466,94168576,TRUE,175,1911,0.000165099,NA,0.330405,NA,FALSE,NA,NA,NA,NA,NA,NA
82,1,94168577,95122541,TRUE,243,1952,NA,0.000239054,NA,0.0849176,FALSE,NA,NA,NA,NA,NA,NA
83,1,95122542,96147576,TRUE,274,2501,NA,0.000660865,NA,0.000409165,FALSE,NA,NA,NA,NA,NA,NA
84,1,96147577,97721186,TRUE,304,3104,0.00120722,0.00108684,0.0149142,2.52085e-07,TRUE,0.405482,0.405482,FALSE,-0.08878,1,0.107247
85,1,97721187,99425000,TRUE,364,3507,0.00176766,0.00148396,0.00209443,3.79527e-10,TRUE,0.482708,0.482708,FALSE,0.08881,1,0.0165158
86,1,99425001,100269207,TRUE,217,1964,NA,0.000108918,NA,0.244406,FALSE,NA,NA,NA,NA,NA,NA
87,1,100269208,101188315,TRUE,138,1681,NA,0.000253221,NA,0.0313378,FALSE,NA,NA,NA,NA,NA,NA
88,1,101188316,102424611,TRUE,294,2873,NA,0.000793482,NA,5.59037e-05,FALSE,NA,NA,NA,NA,NA,NA
89,1,102424612,103148412,TRUE,129,1758,NA,9.33931e-05,NA,0.220145,FALSE,NA,NA,NA,NA,NA,NA
90,1,103148413,103784541,TRUE,76,1896,NA,0.000154942,NA,0.0592681,FALSE,NA,NA,NA,NA,NA,NA
91,1,103784542,104984435,TRUE,168,1846,0.00056537,0.00038761,0.0810556,0.00560826,FALSE,NA,NA,NA,NA,NA,NA
92,1,104984436,106089656,TRUE,191,3207,0.00028871,0.000118816,0.240903,0.211006,FALSE,NA,NA,NA,NA,NA,NA
93,1,106089657,106864947,TRUE,188,1742,NA,0.000324907,NA,0.019966,FALSE,NA,NA,NA,NA,NA,NA
94,1,106864948,107874653,TRUE,230,1855,NA,1.70778e-05,NA,0.446833,FALSE,NA,NA,NA,NA,NA,NA
95,1,107874654,109271449,TRUE,326,2661,0.00101405,0.000341939,0.0370093,0.0456971,TRUE,-0.393859,-0.393859,FALSE,-1,0.61625,0.378317
96,1,109271450,110224230,TRUE,270,1935,0.00031705,0.000284241,0.257844,0.0608673,FALSE,NA,NA,NA,NA,NA,NA
97,1,110224231,111134062,TRUE,312,1640,0.000329945,1.09303e-05,0.264593,0.466913,FALSE,NA,NA,NA,NA,NA,NA
98,1,111134063,112489248,TRUE,438,3342,0.000919215,0.000942356,0.0779666,6.84733e-05,FALSE,NA,NA,NA,NA,NA,NA
99,1,112489249,113418037,TRUE,280,1742,9.41289e-05,0.000226187,0.416221,0.110389,FALSE,NA,NA,NA,NA,NA,NA
100,1,113418038,114664387,TRUE,252,1996,NA,0.000328404,NA,0.0349111,FALSE,NA,NA,NA,NA,NA,NA
101,1,114664388,116207297,TRUE,385,3506,NA,0.00149689,NA,5.42584e-10,FALSE,NA,NA,NA,NA,NA,NA
102,1,116207298,117046311,TRUE,228,1720,NA,0.000304448,NA,0.0375531,FALSE,NA,NA,NA,NA,NA,NA
103,1,117046312,118118667,TRUE,276,1828,NA,0.000352934,NA,0.0306069,FALSE,NA,NA,NA,NA,NA,NA
104,1,118118668,119408888,TRUE,251,2477,NA,0.000444128,NA,0.00776818,FALSE,NA,NA,NA,NA,NA,NA
105,1,119408889,120345066,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,1,120345067,145803848,TRUE,72,472,0.000134992,NA,0.286961,NA,FALSE,NA,NA,NA,NA,NA,NA
107,1,145803849,147083835,TRUE,120,1556,0.000217845,9.17559e-05,0.249136,0.217159,FALSE,NA,NA,NA,NA,NA,NA
108,1,147083836,149716037,TRUE,110,874,0.000542022,2.35825e-05,0.0521221,0.402691,FALSE,NA,NA,NA,NA,NA,NA
109,1,149716038,151146407,TRUE,166,1860,NA,0.000498161,NA,0.000666574,FALSE,NA,NA,NA,NA,NA,NA
110,1,151146408,152535630,TRUE,258,1997,NA,0.000383001,NA,0.0184481,FALSE,NA,NA,NA,NA,NA,NA
111,1,152535631,153410809,TRUE,157,1656,NA,0.000133061,NA,0.163614,FALSE,NA,NA,NA,NA,NA,NA
112,1,153410810,154685545,TRUE,252,1879,0.000817367,0.000252873,0.050476,0.0766545,FALSE,NA,NA,NA,NA,NA,NA
113,1,154685546,156813845,TRUE,492,2767,NA,0.0010529,NA,3.01333e-05,FALSE,NA,NA,NA,NA,NA,NA
114,1,156813846,158081627,TRUE,379,2919,NA,0.000416426,NA,0.0286213,FALSE,NA,NA,NA,NA,NA,NA
115,1,158081628,158900369,TRUE,193,2198,NA,0.000175747,NA,0.125405,FALSE,NA,NA,NA,NA,NA,NA
116,1,158900370,159882515,TRUE,232,2024,0.000679813,0.000594671,0.0759486,0.000557302,FALSE,NA,NA,NA,NA,NA,NA
117,1,159882516,161054076,TRUE,337,2284,0.00147028,0.000155413,0.00629838,0.217434,FALSE,NA,NA,NA,NA,NA,NA
118,1,161054077,161945442,TRUE,209,1760,0.00100836,NA,0.0150452,NA,FALSE,NA,NA,NA,NA,NA,NA
119,1,161945443,163141862,TRUE,394,2930,NA,9.56387e-05,NA,0.323309,FALSE,NA,NA,NA,NA,NA,NA
120,1,163141863,163854567,TRUE,153,1815,0.000341935,0.000252838,0.18021,0.0362455,FALSE,NA,NA,NA,NA,NA,NA
121,1,163854568,164726579,TRUE,211,1623,0.000143926,0.000271233,0.361748,0.049175,FALSE,NA,NA,NA,NA,NA,NA
122,1,164726580,165553812,TRUE,317,2096,0.000354567,0.000454646,0.251967,0.0127703,FALSE,NA,NA,NA,NA,NA,NA
123,1,165553813,166458031,TRUE,262,1789,NA,0.000518856,NA,0.00312752,FALSE,NA,NA,NA,NA,NA,NA
124,1,166458032,167163954,TRUE,186,1928,0.000342414,0.000581975,0.201818,0.000224256,FALSE,NA,NA,NA,NA,NA,NA
125,1,167163955,168179086,TRUE,296,1948,NA,0.000490232,NA,0.00671842,FALSE,NA,NA,NA,NA,NA,NA
126,1,168179087,169521551,TRUE,375,3288,NA,0.000230013,NA,0.139643,FALSE,NA,NA,NA,NA,NA,NA
127,1,169521552,170193207,TRUE,114,1922,NA,0.000136164,NA,0.123479,FALSE,NA,NA,NA,NA,NA,NA
128,1,170193208,171044255,TRUE,176,1776,NA,9.54517e-05,NA,0.247991,FALSE,NA,NA,NA,NA,NA,NA
129,1,171044256,172465153,TRUE,278,3200,NA,0.000504538,NA,0.00447328,FALSE,NA,NA,NA,NA,NA,NA
130,1,172465154,173582511,TRUE,259,1753,NA,0.000397161,NA,0.0154461,FALSE,NA,NA,NA,NA,NA,NA
131,1,173582512,175385220,TRUE,171,2962,0.000958002,0.000493426,0.0119969,0.000826221,TRUE,0.478305,0.478305,FALSE,-0.15942,1,0.12626
132,1,175385221,176449096,TRUE,205,1941,NA,0.000555871,NA,0.000626179,FALSE,NA,NA,NA,NA,NA,NA
133,1,176449097,177746472,TRUE,253,2276,NA,0.00101924,NA,1.64766e-07,FALSE,NA,NA,NA,NA,NA,NA
134,1,177746473,178915113,TRUE,218,2178,NA,0.000739812,NA,2.12093e-05,FALSE,NA,NA,NA,NA,NA,NA
135,1,178915114,180221608,TRUE,222,3347,NA,0.00017576,NA,0.140268,FALSE,NA,NA,NA,NA,NA,NA
136,1,180221609,181324205,TRUE,240,2244,NA,0.000311266,NA,0.0380596,FALSE,NA,NA,NA,NA,NA,NA
137,1,181324206,182420540,TRUE,302,2402,NA,0.000398318,NA,0.0221464,FALSE,NA,NA,NA,NA,NA,NA
138,1,182420541,183920616,TRUE,312,3046,NA,0.000566398,NA,0.00283809,FALSE,NA,NA,NA,NA,NA,NA
139,1,183920617,184953089,TRUE,230,1928,NA,0.000720059,NA,5.39858e-05,FALSE,NA,NA,NA,NA,NA,NA
140,1,184953090,186179447,TRUE,211,1508,NA,0.000346146,NA,0.0196431,FALSE,NA,NA,NA,NA,NA,NA
141,1,186179448,187072605,TRUE,155,1811,7.99562e-05,0.000380644,0.402592,0.00474514,FALSE,NA,NA,NA,NA,NA,NA
142,1,187072606,187757076,TRUE,153,1721,0.000689767,0.00068338,0.0398449,6.08536e-06,TRUE,0.177205,0.177205,FALSE,-0.54619,1,0.56621
143,1,187757077,188625772,TRUE,128,2555,NA,0.000181256,NA,0.0759784,FALSE,NA,NA,NA,NA,NA,NA
144,1,188625773,189904637,TRUE,126,2938,NA,0.000458968,NA,0.000568806,FALSE,NA,NA,NA,NA,NA,NA
145,1,189904638,191419275,TRUE,205,3238,0.000616643,0.000358158,0.083158,0.0148343,FALSE,NA,NA,NA,NA,NA,NA
146,1,191419276,192468373,TRUE,186,2119,NA,0.000105284,NA,0.234719,FALSE,NA,NA,NA,NA,NA,NA
147,1,192468374,193575516,TRUE,202,1737,NA,0.000344564,NA,0.0174305,FALSE,NA,NA,NA,NA,NA,NA
148,1,193575517,194365688,TRUE,145,2154,0.000382875,0.000375386,0.14882,0.00474987,FALSE,NA,NA,NA,NA,NA,NA
149,1,194365689,195161235,TRUE,113,2357,NA,7.76826e-05,NA,0.243564,FALSE,NA,NA,NA,NA,NA,NA
150,1,195161236,196179110,TRUE,194,2177,NA,0.000264354,NA,0.0462009,FALSE,NA,NA,NA,NA,NA,NA
151,1,196179111,197935821,TRUE,235,2264,NA,0.000566406,NA,0.000939795,FALSE,NA,NA,NA,NA,NA,NA
152,1,197935822,199263389,TRUE,271,2757,0.00111954,0.000716946,0.0165415,0.00013972,TRUE,-0.114547,-0.114547,FALSE,-0.95707,0.5656,0.695788
153,1,199263390,200134005,TRUE,196,2397,NA,0.000371691,NA,0.0108468,FALSE,NA,NA,NA,NA,NA,NA
154,1,200134006,201067952,TRUE,234,1994,0.000492471,0.00111681,0.14601,6.12014e-09,FALSE,NA,NA,NA,NA,NA,NA
155,1,201067953,202583884,TRUE,534,3151,NA,0.000295358,NA,0.121798,FALSE,NA,NA,NA,NA,NA,NA
156,1,202583885,204092537,TRUE,452,2949,NA,0.000295392,NA,0.103863,FALSE,NA,NA,NA,NA,NA,NA
157,1,204092538,205009623,TRUE,295,1920,NA,0.00108927,NA,1.74267e-07,FALSE,NA,NA,NA,NA,NA,NA
158,1,205009624,205917548,TRUE,285,2130,NA,0.000477479,NA,0.00720881,FALSE,NA,NA,NA,NA,NA,NA
159,1,205917549,208162951,TRUE,422,3132,NA,0.000615205,NA,0.00470421,FALSE,NA,NA,NA,NA,NA,NA
160,1,208162952,209711169,TRUE,549,3191,NA,0.000827635,NA,0.00107937,FALSE,NA,NA,NA,NA,NA,NA
161,1,209711170,211082892,TRUE,381,3000,0.000174602,0.000639364,0.376276,0.00240295,FALSE,NA,NA,NA,NA,NA,NA
162,1,211082893,212347582,TRUE,308,3370,NA,0.000227392,NA,0.12091,FALSE,NA,NA,NA,NA,NA,NA
163,1,212347583,213958292,TRUE,437,3509,0.000169345,0.0006661,0.387253,0.00281847,FALSE,NA,NA,NA,NA,NA,NA
164,1,213958293,214783872,TRUE,273,1873,NA,0.000495578,NA,0.00487882,FALSE,NA,NA,NA,NA,NA,NA
165,1,214783873,215825791,TRUE,187,1785,NA,0.000423237,NA,0.00429451,FALSE,NA,NA,NA,NA,NA,NA
166,1,215825792,216658126,TRUE,246,1776,0.000739078,0.000157161,0.0656799,0.178942,FALSE,NA,NA,NA,NA,NA,NA
167,1,216658127,217352165,TRUE,248,1738,NA,0.000132951,NA,0.215438,FALSE,NA,NA,NA,NA,NA,NA
168,1,217352166,218563960,TRUE,329,3174,NA,0.000254517,NA,0.10168,FALSE,NA,NA,NA,NA,NA,NA
169,1,218563961,220073132,TRUE,307,3577,0.000133143,0.000485061,0.39193,0.00799103,FALSE,NA,NA,NA,NA,NA,NA
170,1,220073133,220978151,TRUE,201,1914,0.000456918,0.000235279,0.145781,0.0696199,FALSE,NA,NA,NA,NA,NA,NA
171,1,220978152,221856864,TRUE,187,2044,2.85416e-05,0.000291698,0.459098,0.0315293,FALSE,NA,NA,NA,NA,NA,NA
172,1,221856865,222763597,TRUE,248,1686,0.000303557,0.00026089,0.257794,0.0701729,FALSE,NA,NA,NA,NA,NA,NA
173,1,222763598,223654902,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
174,1,223654903,224943337,TRUE,272,2287,0.00038507,0.000823491,0.218342,1.97364e-05,FALSE,NA,NA,NA,NA,NA,NA
175,1,224943338,226534711,TRUE,320,3278,0.00117562,0.00028959,0.0191902,0.0727889,FALSE,NA,NA,NA,NA,NA,NA
176,1,226534712,228045554,TRUE,304,3710,0.000978115,0.000801141,0.0373143,6.12425e-05,TRUE,0.254334,0.254334,FALSE,-0.43744,1,0.411492
177,1,228045555,229075156,TRUE,220,1787,NA,5.69265e-05,NA,0.352971,FALSE,NA,NA,NA,NA,NA,NA
178,1,229075157,230227247,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
179,1,230227248,231287764,TRUE,449,3165,NA,0.000638014,NA,0.00427742,FALSE,NA,NA,NA,NA,NA,NA
180,1,231287765,232177704,TRUE,263,1707,NA,0.000302613,NA,0.0497074,FALSE,NA,NA,NA,NA,NA,NA
181,1,232177705,232954942,TRUE,310,1935,NA,0.000255957,NA,0.0942797,FALSE,NA,NA,NA,NA,NA,NA
182,1,232954943,233639473,TRUE,207,1851,NA,0.00037468,NA,0.0127203,FALSE,NA,NA,NA,NA,NA,NA
183,1,233639474,234365796,TRUE,264,1981,8.53443e-05,0.000368029,0.420627,0.023621,FALSE,NA,NA,NA,NA,NA,NA
184,1,234365797,235097113,TRUE,316,1833,NA,0.000451724,NA,0.0128369,FALSE,NA,NA,NA,NA,NA,NA
185,1,235097114,236199671,TRUE,198,1790,NA,0.000426633,NA,0.00491061,FALSE,NA,NA,NA,NA,NA,NA
186,1,236199672,237409458,TRUE,365,3200,0.000392489,0.000340018,0.24596,0.0550418,FALSE,NA,NA,NA,NA,NA,NA
187,1,237409459,238094455,TRUE,276,1908,0.000176365,0.000643921,0.354605,0.000600742,FALSE,NA,NA,NA,NA,NA,NA
188,1,238094456,238704857,TRUE,152,1853,NA,0.000593043,NA,6.36105e-05,FALSE,NA,NA,NA,NA,NA,NA
189,1,238704858,239332148,TRUE,191,1870,0.00041463,0.000584337,0.161988,0.00024015,FALSE,NA,NA,NA,NA,NA,NA
190,1,239332149,240248508,TRUE,305,2174,5.03376e-05,0.000788467,0.451763,7.82542e-05,FALSE,NA,NA,NA,NA,NA,NA
191,1,240248509,241033584,TRUE,265,1618,0.000403816,0.000334124,0.205051,0.0339517,FALSE,NA,NA,NA,NA,NA,NA
192,1,241033585,241813534,TRUE,302,1839,NA,0.000562416,NA,0.00274475,FALSE,NA,NA,NA,NA,NA,NA
193,1,241813535,242417923,TRUE,233,1669,7.6824e-05,0.000126788,0.422706,0.218217,FALSE,NA,NA,NA,NA,NA,NA
194,1,242417924,243048003,TRUE,213,1684,NA,0.000230972,NA,0.0777079,FALSE,NA,NA,NA,NA,NA,NA
195,1,243048004,244723196,TRUE,361,2507,NA,0.00123717,NA,5.72899e-08,FALSE,NA,NA,NA,NA,NA,NA
196,1,244723197,245970505,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
197,1,245970506,246610290,TRUE,149,2013,NA,0.000302395,NA,0.0162749,FALSE,NA,NA,NA,NA,NA,NA
198,1,246610291,247531112,TRUE,323,2466,NA,0.000364313,NA,0.0361748,FALSE,NA,NA,NA,NA,NA,NA
199,1,247531113,248341594,TRUE,279,2360,NA,0.000157284,NA,0.191685,FALSE,NA,NA,NA,NA,NA,NA
200,1,248341595,249240538,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201,2,10181,789195,TRUE,211,1766,NA,0.000272666,NA,0.0476914,FALSE,NA,NA,NA,NA,NA,NA
202,2,789196,1376545,TRUE,142,2066,NA,0.000299365,NA,0.0152189,FALSE,NA,NA,NA,NA,NA,NA
203,2,1376546,1875060,TRUE,216,1603,0.000551076,NA,0.112004,NA,FALSE,NA,NA,NA,NA,NA,NA
204,2,1875061,2680063,TRUE,300,1933,0.000449226,0.000662138,0.195295,0.000596463,FALSE,NA,NA,NA,NA,NA,NA
205,2,2680064,3314202,TRUE,312,1782,NA,0.000162544,NA,0.197074,FALSE,NA,NA,NA,NA,NA,NA
206,2,3314203,4016104,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
207,2,4016105,4766969,TRUE,194,1781,NA,5.07816e-05,NA,0.358157,FALSE,NA,NA,NA,NA,NA,NA
208,2,4766970,5568653,TRUE,181,1641,NA,0.000286346,NA,0.0306697,FALSE,NA,NA,NA,NA,NA,NA
209,2,5568654,6306606,TRUE,300,2175,NA,0.000140323,NA,0.226367,FALSE,NA,NA,NA,NA,NA,NA
210,2,6306607,7108208,TRUE,236,1758,NA,0.000304889,NA,0.0397638,FALSE,NA,NA,NA,NA,NA,NA
