"locus","chr","start","stop","processed","K","n_snps","h2_MDD_noUKB","h2_BIP_noUKB","p_MDD_noUKB","p_BIP_noUKB","gate_pass","rho_hat","rho_raw","paramlim_drop","rho_lower","rho_upper","bivar_p","n_pheno_returned","dropped_pheno"
15,1,13481026,14720131,TRUE,412,2742,0.000417284,0.000448629,0.0231477,8.2115e-07,TRUE,0.205324,0.205324,FALSE,-0.39911,0.89178,0.435878,2,NA
16,1,14720132,15755230,TRUE,517,2849,NA,5.9609e-05,NA,0.260263,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD_noUKB"
17,1,15755231,16732168,TRUE,216,2238,NA,8.38573e-05,NA,0.0895272,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD_noUKB"
18,1,16732169,17557746,TRUE,171,1095,NA,0.000207458,NA,0.000322346,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD_noUKB"
19,1,17557747,18427820,TRUE,353,2155,0.000586402,0.000249165,0.00169271,0.00144617,TRUE,-0.0290814,-0.0290814,FALSE,-0.77999,0.55485,0.915194,2,NA
20,1,18427821,19238924,TRUE,459,2294,0.000675311,0.000127029,0.0014311,0.0791817,FALSE,NA,NA,NA,NA,NA,NA,2,NA
21,1,19238925,20556202,TRUE,433,3341,NA,0.000368274,NA,4.00905e-05,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD_noUKB"
22,1,20556203,21416121,TRUE,226,1878,0.000143288,0.000103306,0.16931,0.054493,FALSE,NA,NA,NA,NA,NA,NA,2,NA
23,1,21416122,22145629,TRUE,258,1835,9.38357e-06,0.000289752,0.465062,4.62366e-05,FALSE,NA,NA,NA,NA,NA,NA,2,NA
24,1,22145630,22740287,TRUE,252,1720,0.000148276,0.000175811,0.173767,0.00620155,FALSE,NA,NA,NA,NA,NA,NA,2,NA
25,1,22740288,23907045,TRUE,328,1950,0.000168332,0.000275247,0.175633,0.00039394,FALSE,NA,NA,NA,NA,NA,NA,2,NA
26,1,23907046,25885138,TRUE,506,3292,0.000205388,0.000341801,0.18027,0.000337701,FALSE,NA,NA,NA,NA,NA,NA,2,NA
27,1,25885139,27992665,TRUE,418,3023,0.000717872,0.000496818,0.000518506,1.27281e-07,TRUE,-0.394743,-0.394743,FALSE,-0.99949,0.00087,0.0516091,2,NA
28,1,27992666,29188426,TRUE,218,1921,0.000223908,9.41583e-05,0.071294,0.0834754,FALSE,NA,NA,NA,NA,NA,NA,2,NA
29,1,29188427,30405182,TRUE,357,2265,0.000347418,0.000353378,0.0370057,2.04729e-05,TRUE,0.343114,0.343114,FALSE,-0.31542,1,0.251403,2,NA
30,1,30405183,31639217,TRUE,402,2944,0.00018924,0.000454316,0.171946,5.65372e-07,FALSE,NA,NA,NA,NA,NA,NA,2,NA
31,1,31639218,33066846,TRUE,298,2147,0.000313759,0.000235368,0.0404369,0.00114528,TRUE,-0.560725,-0.560725,FALSE,-1,0.13083,0.106106,2,NA
32,1,33066847,34371022,TRUE,329,2137,0.00081183,0.000573713,2.39253e-05,4.11167e-11,TRUE,-0.115229,-0.115229,FALSE,-0.49832,0.213,0.495912,2,NA
33,1,34371023,35201626,TRUE,339,2044,NA,0.000174426,NA,0.0157094,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD_noUKB"
34,1,35201627,36855139,TRUE,273,1656,0.000350995,0.000276782,0.0213225,0.000151247,TRUE,-0.118703,-0.118703,FALSE,-1,0.53126,0.694235,2,NA
35,1,36855140,38474036,TRUE,498,3349,0.000400728,0.000219505,0.0396449,0.0117425,TRUE,0.344135,0.344135,FALSE,-0.63742,1,0.374845,2,NA
36,1,38474037,40200950,TRUE,479,3255,0.00042966,0.000812611,0.0282474,8.9966e-15,TRUE,0.236987,0.236987,FALSE,-0.24607,0.83278,0.283832,2,NA
37,1,40200951,41093875,TRUE,239,1839,0.000162457,0.000158821,0.146732,0.00980914,FALSE,NA,NA,NA,NA,NA,NA,2,NA
38,1,41093876,41977966,TRUE,280,2128,0.000339748,0.000379115,0.0252479,6.72505e-07,TRUE,0.0960126,0.0960126,FALSE,-0.58346,0.71927,0.723062,2,NA
39,1,41977967,43512669,TRUE,310,2979,0.000408831,0.000379982,0.0132674,1.96446e-06,TRUE,0.270322,0.270322,FALSE,-0.29205,0.93976,0.296386,2,NA
40,1,43512670,45167235,TRUE,380,2947,0.000470155,0.000227864,0.0106579,0.00437449,TRUE,0.114325,0.114325,FALSE,-0.74792,0.95696,0.722899,2,NA
41,1,45167236,47257261,TRUE,279,3254,0.00065684,0.000378252,0.000163548,7.91655e-07,TRUE,-0.0341167,-0.0341167,FALSE,-0.50907,0.39181,0.867505,2,NA
42,1,47257262,48105233,TRUE,187,1512,0.000415216,0.000106414,0.00250063,0.034827,TRUE,-0.135004,-0.135004,FALSE,-1,0.68943,0.709169,2,NA
43,1,48105234,49185414,TRUE,301,2031,7.45192e-05,0.00025844,0.325745,0.000511413,FALSE,NA,NA,NA,NA,NA,NA,2,NA
44,1,49185415,51777577,TRUE,212,2776,0.000237491,8.06637e-05,0.0562539,0.092343,FALSE,NA,NA,NA,NA,NA,NA,2,NA
45,1,51777578,53114186,TRUE,154,1852,0.000177069,0.000105915,0.0816786,0.0266181,FALSE,NA,NA,NA,NA,NA,NA,2,NA
46,1,53114187,54771293,TRUE,479,3473,0.000466569,0.000454269,0.0199104,3.54358e-06,TRUE,0.0864598,0.0864598,FALSE,-0.59647,0.7249,0.744604,2,NA
47,1,54771294,55727134,TRUE,395,2434,NA,0.000292283,NA,0.000508741,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD_noUKB"
48,1,55727135,56799636,TRUE,286,2785,0.000107701,0.000502611,0.256623,6.03858e-10,FALSE,NA,NA,NA,NA,NA,NA,2,NA
49,1,56799637,57529670,TRUE,266,1866,0.000111331,6.11883e-05,0.242633,0.183017,FALSE,NA,NA,NA,NA,NA,NA,2,NA
50,1,57529671,58387483,TRUE,258,2010,NA,1.47612e-05,NA,0.402294,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD_noUKB"
51,1,58387484,59889045,TRUE,417,3325,9.47912e-06,0.000297501,0.472314,0.000488253,FALSE,NA,NA,NA,NA,NA,NA,2,NA
52,1,59889046,61377615,TRUE,380,2704,NA,0.000201161,NA,0.00926389,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD_noUKB"
53,1,61377616,62778733,TRUE,507,3173,0.000240709,0.000385988,0.143282,7.10852e-05,FALSE,NA,NA,NA,NA,NA,NA,2,NA
54,1,62778734,64344226,TRUE,411,3105,0.00017994,0.000305493,0.185644,0.000338084,FALSE,NA,NA,NA,NA,NA,NA,2,NA
55,1,64344227,65894184,TRUE,399,3058,0.000147239,0.00022392,0.227345,0.00544035,FALSE,NA,NA,NA,NA,NA,NA,2,NA
56,1,65894185,66778015,TRUE,166,1896,0.000183569,NA,0.0823607,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"BIP_noUKB"
57,1,66778016,67761890,TRUE,225,2324,0.000178086,6.974e-05,0.118945,0.130495,FALSE,NA,NA,NA,NA,NA,NA,2,NA
58,1,67761891,68633860,TRUE,265,1834,0.000164051,0.000234829,0.156704,0.000800163,FALSE,NA,NA,NA,NA,NA,NA,2,NA
59,1,68633861,69438909,TRUE,194,1863,0.000184164,0.000191468,0.0964288,0.00118752,FALSE,NA,NA,NA,NA,NA,NA,2,NA
60,1,69438910,70992905,TRUE,357,2840,0.000277193,0.00044414,0.0745183,2.50843e-07,FALSE,NA,NA,NA,NA,NA,NA,2,NA
61,1,70992906,72513119,TRUE,265,2674,0.000579412,0.000295932,0.000525973,3.86743e-05,TRUE,-0.0132411,-0.0132411,FALSE,-0.60865,0.45243,0.954528,2,NA
62,1,72513120,73992170,TRUE,159,2718,0.000288722,0.000296055,0.0158161,7.01118e-07,TRUE,0.497861,0.497861,FALSE,-0.04342,1,0.0656282,2,NA
63,1,73992171,75132092,TRUE,200,1864,0.000239256,3.16418e-05,0.0508711,0.285354,FALSE,NA,NA,NA,NA,NA,NA,2,NA
64,1,75132093,76097247,TRUE,153,1828,NA,0.000260859,NA,5.04142e-06,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD_noUKB"
65,1,76097248,76977915,TRUE,217,2245,5.40275e-05,0.000177335,0.346511,0.00332329,FALSE,NA,NA,NA,NA,NA,NA,2,NA
66,1,76977916,77895394,TRUE,231,2194,0.000211775,0.000241962,0.0855257,0.000268728,FALSE,NA,NA,NA,NA,NA,NA,2,NA
67,1,77895395,79065286,TRUE,205,2198,0.000145578,0.000440809,0.155222,8.13137e-10,FALSE,NA,NA,NA,NA,NA,NA,2,NA
68,1,79065287,80099353,TRUE,187,2681,0.00015967,0.000239213,0.123016,8.00393e-05,FALSE,NA,NA,NA,NA,NA,NA,2,NA
69,1,80099354,80781442,TRUE,131,1740,2.97014e-05,9.91423e-05,0.383311,0.0255618,FALSE,NA,NA,NA,NA,NA,NA,2,NA
70,1,80781443,82123368,TRUE,415,3380,0.000555629,0.000495994,0.00487648,2.39282e-07,TRUE,-0.42425,-0.42425,FALSE,-1,0.02718,0.0631574,2,NA
71,1,82123369,83461215,TRUE,323,3123,NA,0.00026955,NA,0.000390013,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD_noUKB"
72,1,83461216,84728347,TRUE,261,2296,NA,0.000405277,NA,6.54106e-08,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD_noUKB"
73,1,84728348,86017267,TRUE,392,3069,NA,0.000386931,NA,1.10147e-05,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD_noUKB"
74,1,86017268,86761554,TRUE,174,1935,4.19181e-05,0.000203029,0.3629,0.000398784,FALSE,NA,NA,NA,NA,NA,NA,2,NA
75,1,86761555,87667572,TRUE,175,1870,2.23469e-05,0.000250504,0.419377,2.93562e-05,FALSE,NA,NA,NA,NA,NA,NA,2,NA
76,1,87667573,88656689,TRUE,349,1876,0.000407539,0.000141764,0.0179513,0.0389507,TRUE,-0.516904,-0.516904,FALSE,-1,0.30548,0.204482,2,NA
77,1,88656690,89753964,TRUE,224,2145,0.000633154,0.000151502,7.30754e-05,0.0108484,TRUE,-0.528207,-0.528207,FALSE,-1,0.02678,0.0611177,2,NA
78,1,89753965,90941549,TRUE,317,2113,5.828e-05,0.0003029,0.36268,9.5278e-05,FALSE,NA,NA,NA,NA,NA,NA,2,NA
79,1,90941550,91870059,TRUE,241,1939,0.000164554,6.39884e-05,0.145056,0.162004,FALSE,NA,NA,NA,NA,NA,NA,2,NA
80,1,91870060,92904465,TRUE,259,2021,0.00041704,0.0003676,0.00717822,8.2349e-07,TRUE,0.219921,0.219921,FALSE,-0.33262,0.7924,0.372221,2,NA
81,1,92904466,94168576,TRUE,182,1920,NA,6.00765e-05,NA,0.140968,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD_noUKB"
82,1,94168577,95122541,TRUE,259,2004,0.000328638,0.000331938,0.0254469,9.74941e-06,TRUE,-0.0184361,-0.0184361,FALSE,-0.82043,0.62309,0.949006,2,NA
83,1,95122542,96147576,TRUE,289,2521,NA,0.000388413,NA,6.1736e-07,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD_noUKB"
84,1,96147577,97721186,TRUE,309,3114,0.000321992,0.000352294,0.0377774,7.20482e-06,TRUE,0.622892,0.622892,FALSE,0.06725,1,0.0358485,2,NA
85,1,97721187,99425000,TRUE,400,3602,0.000946335,0.000294397,8.28932e-06,0.00050596,TRUE,-0.0416832,-0.0416832,FALSE,-0.59037,0.3977,0.848696,2,NA
86,1,99425001,100269207,TRUE,248,2022,0.000109572,0.000282645,0.238008,5.28078e-05,FALSE,NA,NA,NA,NA,NA,NA,2,NA
87,1,100269208,101188315,TRUE,150,1705,NA,0.000384693,NA,1.0156e-09,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD_noUKB"
88,1,101188316,102424611,TRUE,331,3004,7.11059e-05,0.000251842,0.339984,0.000979895,FALSE,NA,NA,NA,NA,NA,NA,2,NA
89,1,102424612,103148412,TRUE,130,1801,NA,0.000178607,NA,0.000386621,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD_noUKB"
90,1,103148413,103784541,TRUE,78,1925,0.00010875,NA,0.112246,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"BIP_noUKB"
91,1,103784542,104984435,TRUE,165,1913,NA,0.000314185,NA,5.89167e-07,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD_noUKB"
92,1,104984436,106089656,TRUE,200,3280,NA,0.000266801,NA,2.54064e-05,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD_noUKB"
93,1,106089657,106864947,TRUE,206,1787,0.000341227,8.8698e-05,0.0122706,0.0734597,FALSE,NA,NA,NA,NA,NA,NA,2,NA
94,1,106864948,107874653,TRUE,235,1877,7.86339e-05,0.000211777,0.295724,0.000997585,FALSE,NA,NA,NA,NA,NA,NA,2,NA
95,1,107874654,109271449,TRUE,347,2750,0.00036046,0.000353505,0.0306145,1.6207e-05,TRUE,0.0905996,0.0905996,FALSE,-0.71626,0.80576,0.756332,2,NA
96,1,109271450,110224230,TRUE,283,1968,0.000153899,0.000263211,0.1784,0.000270425,FALSE,NA,NA,NA,NA,NA,NA,2,NA
97,1,110224231,111134062,TRUE,350,1733,0.000668982,0.000447456,0.000455743,2.2142e-07,TRUE,-0.0658731,-0.0658731,FALSE,-0.55304,0.32907,0.748203,2,NA
98,1,111134063,112489248,TRUE,455,3378,NA,0.000568166,NA,4.63788e-09,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD_noUKB"
99,1,112489249,113418037,TRUE,289,1764,0.000249776,0.000311569,0.0750532,3.24974e-05,FALSE,NA,NA,NA,NA,NA,NA,2,NA
100,1,113418038,114664387,TRUE,266,2032,0.000381352,0.000275477,0.013375,0.00017312,TRUE,0.268657,0.268657,FALSE,-0.38558,1,0.35727,2,NA
101,1,114664388,116207297,TRUE,395,3506,9.03483e-05,0.000343186,0.317649,5.28634e-05,FALSE,NA,NA,NA,NA,NA,NA,2,NA
102,1,116207298,117046311,TRUE,251,1762,3.12967e-05,0.000163028,0.410471,0.00935635,FALSE,NA,NA,NA,NA,NA,NA,2,NA
103,1,117046312,118118667,TRUE,309,1893,NA,0.000220698,NA,0.00233681,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD_noUKB"
104,1,118118668,119408888,TRUE,260,2528,NA,0.000256929,NA,0.000244967,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD_noUKB"
105,1,119408889,120345066,TRUE,245,1869,0.000332137,0.00020496,0.0211451,0.00174381,TRUE,0.537497,0.537497,FALSE,-0.128,1,0.106741,2,NA
106,1,120345067,145803848,TRUE,63,262,3.79334e-05,0.000164658,0.30651,0.000144948,FALSE,NA,NA,NA,NA,NA,NA,2,NA
107,1,145803849,147083835,TRUE,130,1584,0.000145527,9.64124e-05,0.111726,0.0273573,FALSE,NA,NA,NA,NA,NA,NA,2,NA
108,1,147083836,149716037,TRUE,129,907,2.2658e-05,7.26445e-05,0.409065,0.0749309,FALSE,NA,NA,NA,NA,NA,NA,2,NA
109,1,149716038,151146407,TRUE,173,2045,NA,0.000170505,NA,0.00260241,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD_noUKB"
110,1,151146408,152535630,TRUE,268,2022,0.000254532,0.000226056,0.0645911,0.000957996,FALSE,NA,NA,NA,NA,NA,NA,2,NA
111,1,152535631,153410809,TRUE,179,1698,NA,0.000201161,NA,0.000482204,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD_noUKB"
112,1,153410810,154685545,TRUE,282,1939,0.000484208,0.00047334,0.00370837,3.61471e-09,TRUE,-0.000390608,-0.000390608,FALSE,-0.54429,0.4565,0.998565,2,NA
113,1,154685546,156813845,TRUE,519,2822,0.00100775,0.000452758,2.22044e-05,6.5784e-06,TRUE,-0.0119199,-0.0119199,FALSE,-0.45718,0.37871,0.950995,2,NA
114,1,156813846,158081627,TRUE,404,2989,NA,0.000189162,NA,0.0144383,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD_noUKB"
115,1,158081628,158900369,TRUE,197,2302,0.000153022,2.48795e-05,0.138704,0.324779,FALSE,NA,NA,NA,NA,NA,NA,2,NA
116,1,158900370,159882515,TRUE,260,2091,NA,0.000190097,NA,0.0040672,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD_noUKB"
117,1,159882516,161054076,TRUE,390,2425,NA,0.00030007,NA,0.000393385,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD_noUKB"
118,1,161054077,161945442,TRUE,218,1784,NA,0.000131966,NA,0.0205148,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD_noUKB"
119,1,161945443,163141862,TRUE,429,2986,0.000304515,0.00031577,0.0739589,0.000326702,FALSE,NA,NA,NA,NA,NA,NA,2,NA
120,1,163141863,163854567,TRUE,176,1868,NA,0.000161593,NA,0.00328305,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD_noUKB"
121,1,163854568,164726579,TRUE,254,1787,5.43518e-05,0.000183353,0.356912,0.00475885,FALSE,NA,NA,NA,NA,NA,NA,2,NA
122,1,164726580,165553812,TRUE,327,2118,0.000303087,0.000222132,0.0509628,0.00263404,FALSE,NA,NA,NA,NA,NA,NA,2,NA
123,1,165553813,166458031,TRUE,285,1831,9.53244e-05,0.000102928,0.280413,0.0799143,FALSE,NA,NA,NA,NA,NA,NA,2,NA
124,1,166458032,167163954,TRUE,192,1970,4.00245e-05,0.00018208,0.374365,0.00180021,FALSE,NA,NA,NA,NA,NA,NA,2,NA
125,1,167163955,168179086,TRUE,333,2016,0.000259538,0.000295149,0.0813282,0.000186422,FALSE,NA,NA,NA,NA,NA,NA,2,NA
126,1,168179087,169521551,TRUE,409,3398,0.000152311,0.000338612,0.222418,9.04811e-05,FALSE,NA,NA,NA,NA,NA,NA,2,NA
127,1,169521552,170193207,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
128,1,170193208,171044255,TRUE,180,1791,0.000137967,4.61175e-05,0.151472,0.198669,FALSE,NA,NA,NA,NA,NA,NA,2,NA
129,1,171044256,172465153,TRUE,292,3231,0.000201241,0.000545496,0.120749,2.47368e-11,FALSE,NA,NA,NA,NA,NA,NA,2,NA
130,1,172465154,173582511,TRUE,270,1775,NA,0.000238428,NA,0.000580081,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD_noUKB"
131,1,173582512,175385220,TRUE,179,2986,9.66127e-05,0.000259892,0.229445,1.71816e-05,FALSE,NA,NA,NA,NA,NA,NA,2,NA
132,1,175385221,176449096,TRUE,239,2003,0.000176326,0.000191084,0.129595,0.00301413,FALSE,NA,NA,NA,NA,NA,NA,2,NA
133,1,176449097,177746472,TRUE,266,2302,0.000328383,0.00015752,0.0264603,0.0133563,TRUE,-0.338304,-0.338304,FALSE,-1,0.44205,0.379174,2,NA
134,1,177746473,178915113,TRUE,221,2213,0.000341137,0.000304297,0.0146577,6.75953e-06,TRUE,0.467101,0.467101,FALSE,-0.06772,1,0.0887251,2,NA
135,1,178915114,180221608,TRUE,233,3393,0.000410229,0.000405248,0.00577481,1.73642e-08,TRUE,0.0742172,0.0742172,FALSE,-0.47829,0.56355,0.747384,2,NA
136,1,180221609,181324205,TRUE,266,2303,0.00016763,0.000237796,0.151855,0.000603567,FALSE,NA,NA,NA,NA,NA,NA,2,NA
137,1,181324206,182420540,TRUE,315,2430,NA,0.000209403,NA,0.00376346,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD_noUKB"
138,1,182420541,183920616,TRUE,328,3125,0.000213721,0.000715001,0.121036,2.65979e-15,FALSE,NA,NA,NA,NA,NA,NA,2,NA
139,1,183920617,184953089,TRUE,239,1958,NA,0.000205289,NA,0.00166951,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD_noUKB"
140,1,184953090,186179447,TRUE,234,1570,0.000115636,0.000266064,0.221744,0.000103516,FALSE,NA,NA,NA,NA,NA,NA,2,NA
141,1,186179448,187072605,TRUE,165,1837,5.27431e-05,0.000101775,0.329115,0.0320503,FALSE,NA,NA,NA,NA,NA,NA,2,NA
142,1,187072606,187757076,TRUE,159,1748,NA,0.000114213,NA,0.0197451,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD_noUKB"
143,1,187757077,188625772,TRUE,144,2636,6.15999e-05,0.000142863,0.29435,0.00425992,FALSE,NA,NA,NA,NA,NA,NA,2,NA
144,1,188625773,189904637,TRUE,163,3054,9.41339e-05,0.000133781,0.229236,0.016066,FALSE,NA,NA,NA,NA,NA,NA,2,NA
145,1,189904638,191419275,TRUE,212,3300,NA,0.000233366,NA,0.000245454,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD_noUKB"
146,1,191419276,192468373,TRUE,194,2144,NA,0.000162282,NA,0.0043577,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD_noUKB"
147,1,192468374,193575516,TRUE,224,1865,NA,5.08702e-05,NA,0.207228,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD_noUKB"
148,1,193575517,194365688,TRUE,158,2192,0.000210564,0.00011481,0.053423,0.0200737,FALSE,NA,NA,NA,NA,NA,NA,2,NA
149,1,194365689,195161235,TRUE,118,2366,0.000288394,3.61876e-05,0.00717246,0.203116,FALSE,NA,NA,NA,NA,NA,NA,2,NA
150,1,195161236,196179110,TRUE,211,2212,NA,0.000113415,NA,0.0346893,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD_noUKB"
151,1,196179111,197935821,TRUE,241,2283,0.000288415,0.000278886,0.0367063,4.62279e-05,TRUE,0.176879,0.176879,FALSE,-0.61973,1,0.570465,2,NA
152,1,197935822,199263389,TRUE,288,2824,NA,0.000298327,NA,7.3936e-05,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD_noUKB"
153,1,199263390,200134005,TRUE,199,2406,0.000298536,0.000217727,0.0217711,0.000357143,TRUE,-0.172085,-0.172085,FALSE,-1,0.51478,0.588075,2,NA
154,1,200134006,201067952,TRUE,248,2031,0.000408285,0.000287762,0.00722928,3.65574e-05,TRUE,-0.597244,-0.597244,FALSE,-1,-0.08087,0.0262123,2,NA
155,1,201067953,202583884,TRUE,578,3251,0.00030757,0.000373826,0.102282,0.000222164,FALSE,NA,NA,NA,NA,NA,NA,2,NA
156,1,202583885,204092537,TRUE,523,3143,2.34294e-05,0.000559673,0.451201,5.86434e-08,FALSE,NA,NA,NA,NA,NA,NA,2,NA
157,1,204092538,205009623,TRUE,321,1990,0.000318545,0.000285536,0.0424742,0.00023238,TRUE,-0.390497,-0.390497,FALSE,-1,0.2624,0.233907,2,NA
158,1,205009624,205917548,TRUE,307,2180,0.000111177,0.00022753,0.257675,0.00179509,FALSE,NA,NA,NA,NA,NA,NA,2,NA
159,1,205917549,208162951,TRUE,408,3028,9.81342e-05,0.000465308,0.309082,4.60521e-07,FALSE,NA,NA,NA,NA,NA,NA,2,NA
160,1,208162952,209711169,TRUE,594,3287,0.000284736,0.000164498,0.122531,0.0550619,FALSE,NA,NA,NA,NA,NA,NA,2,NA
161,1,209711170,211082892,TRUE,403,3064,0.000273581,0.000528752,0.0893906,9.91749e-09,FALSE,NA,NA,NA,NA,NA,NA,2,NA
162,1,211082893,212347582,TRUE,320,3409,9.7145e-05,0.000520233,0.287771,1.78542e-09,FALSE,NA,NA,NA,NA,NA,NA,2,NA
163,1,212347583,213958292,TRUE,465,3575,4.2584e-05,0.000235694,0.413584,0.00631149,FALSE,NA,NA,NA,NA,NA,NA,2,NA
164,1,213958293,214783872,TRUE,287,1905,0.000191727,0.000233567,0.130293,0.00107496,FALSE,NA,NA,NA,NA,NA,NA,2,NA
165,1,214783873,215825791,TRUE,193,1807,0.000132311,0.000230157,0.170387,0.000224918,FALSE,NA,NA,NA,NA,NA,NA,2,NA
166,1,215825792,216658126,TRUE,267,1859,0.000121176,0.00024366,0.225417,0.000511972,FALSE,NA,NA,NA,NA,NA,NA,2,NA
167,1,216658127,217352165,TRUE,270,1790,0.000156924,0.000161917,0.169226,0.0125677,FALSE,NA,NA,NA,NA,NA,NA,2,NA
168,1,217352166,218563960,TRUE,342,3223,NA,0.000413938,NA,7.37815e-07,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD_noUKB"
169,1,218563961,220073132,TRUE,321,3632,NA,2.66919e-05,NA,0.349841,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD_noUKB"
170,1,220073133,220978151,TRUE,212,1969,4.38273e-05,0.000321106,0.370869,1.97231e-06,FALSE,NA,NA,NA,NA,NA,NA,2,NA
171,1,220978152,221856864,TRUE,190,2050,NA,0.000281152,NA,9.91078e-06,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD_noUKB"
172,1,221856865,222763597,TRUE,259,1717,0.000232883,0.00032064,0.0777436,8.86611e-06,FALSE,NA,NA,NA,NA,NA,NA,2,NA
173,1,222763598,223654902,TRUE,226,1782,6.36935e-05,0.000295635,0.326561,1.38549e-05,FALSE,NA,NA,NA,NA,NA,NA,2,NA
174,1,223654903,224943337,TRUE,280,2307,0.000460809,8.6843e-05,0.00475152,0.108732,FALSE,NA,NA,NA,NA,NA,NA,2,NA
175,1,224943338,226534711,TRUE,327,3297,0.0002023,0.000231758,0.132724,0.00187433,FALSE,NA,NA,NA,NA,NA,NA,2,NA
