"locus","chr","start","stop","processed","K","n_snps","h2_AN","h2_ASD","p_AN","p_ASD","gate_pass","rho_hat","rho_raw","paramlim_drop","rho_lower","rho_upper","bivar_p","n_pheno_returned","dropped_pheno"
29,1,29188427,30405182,TRUE,271,2139,0.00163908,NA,5.35116e-06,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
30,1,30405183,31639217,TRUE,295,2846,0.00019064,NA,0.285072,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
31,1,31639218,33066846,TRUE,165,1827,0.00027531,1.7896e-05,0.152244,0.467212,FALSE,NA,NA,NA,NA,NA,NA,2,NA
32,1,33066847,34371022,TRUE,215,2040,0.000254997,1.83264e-06,0.199004,0.485541,FALSE,NA,NA,NA,NA,NA,NA,2,NA
33,1,34371023,35201626,TRUE,268,1980,0.00140439,NA,7.00116e-05,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
34,1,35201627,36855139,TRUE,126,1189,0.000556159,NA,0.0252049,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
35,1,36855140,38474036,TRUE,348,3150,0.00155808,NA,9.23207e-05,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
36,1,38474037,40200950,TRUE,341,3084,0.000994662,NA,0.00703054,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
37,1,40200951,41093875,TRUE,172,1781,0.00100384,NA,0.000449154,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
38,1,41093876,41977966,TRUE,253,2134,0.00181583,NA,3.26842e-07,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
39,1,41977967,43512669,TRUE,231,2900,0.000651541,0.00110651,0.0201505,0.0118459,TRUE,-0.0380262,-0.0380262,FALSE,-1,0.85894,0.918659,2,NA
40,1,43512670,45167235,TRUE,298,2859,0.00173803,0.000872534,5.29133e-06,0.0531158,FALSE,NA,NA,NA,NA,NA,NA,2,NA
41,1,45167236,47257261,TRUE,199,3177,0.000709356,9.54528e-05,0.00905283,0.399932,FALSE,NA,NA,NA,NA,NA,NA,2,NA
42,1,47257262,48105233,TRUE,159,1593,0.000522426,6.11284e-05,0.0253999,0.42258,FALSE,NA,NA,NA,NA,NA,NA,2,NA
43,1,48105234,49185414,TRUE,228,1993,0.00113857,NA,0.000338964,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
44,1,49185415,51777577,TRUE,131,2577,0.000333849,NA,0.082988,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
45,1,51777578,53114186,TRUE,96,1696,0.000393669,0.000440804,0.0381879,0.0764868,FALSE,NA,NA,NA,NA,NA,NA,2,NA
46,1,53114187,54771293,TRUE,344,3267,0.0024724,0.000198128,5.31082e-09,0.354773,FALSE,NA,NA,NA,NA,NA,NA,2,NA
47,1,54771294,55727134,TRUE,313,2394,0.000642298,NA,0.0423925,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
48,1,55727135,56799636,TRUE,228,2760,0.00126338,0.000557923,7.41124e-05,0.115154,FALSE,NA,NA,NA,NA,NA,NA,2,NA
49,1,56799637,57529670,TRUE,181,1739,0.0013851,0.000152382,6.30294e-06,0.344034,FALSE,NA,NA,NA,NA,NA,NA,2,NA
50,1,57529671,58387483,TRUE,224,1988,0.000667748,0.000464808,0.0170477,0.154192,FALSE,NA,NA,NA,NA,NA,NA,2,NA
51,1,58387484,59889045,TRUE,320,3324,0.000399025,NA,0.134579,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
52,1,59889046,61377615,TRUE,311,2681,0.001615,0.000785777,1.84453e-05,0.0757209,FALSE,NA,NA,NA,NA,NA,NA,2,NA
53,1,61377616,62778733,TRUE,402,3022,0.000446439,NA,0.139719,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
54,1,62778734,64344226,TRUE,323,3038,0.000892155,NA,0.010001,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
55,1,64344227,65894184,TRUE,302,3040,0.00127835,0.000875319,0.000367094,0.0536633,FALSE,NA,NA,NA,NA,NA,NA,2,NA
56,1,65894185,66778015,TRUE,130,1921,0.000276184,0.000558421,0.114464,0.0604489,FALSE,NA,NA,NA,NA,NA,NA,2,NA
57,1,66778016,67761890,TRUE,188,2322,0.000636261,0.000623916,0.0136081,0.0727128,FALSE,NA,NA,NA,NA,NA,NA,2,NA
58,1,67761891,68633860,TRUE,215,1768,0.00192411,0.000236386,1.70278e-08,0.290549,FALSE,NA,NA,NA,NA,NA,NA,2,NA
59,1,68633861,69438909,TRUE,152,1869,0.000572788,NA,0.014798,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
60,1,69438910,70992905,TRUE,270,2735,0.00131712,NA,0.000151507,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
61,1,70992906,72513119,TRUE,222,2684,0.00114134,1.44606e-06,0.00024961,0.48611,FALSE,NA,NA,NA,NA,NA,NA,2,NA
62,1,72513120,73992170,TRUE,101,2625,0.00100969,2.18395e-05,2.57052e-05,0.453083,FALSE,NA,NA,NA,NA,NA,NA,2,NA
63,1,73992171,75132092,TRUE,129,1756,0.000607581,NA,0.00702148,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
64,1,75132093,76097247,TRUE,109,1846,0.000336728,0.000363076,0.0606102,0.129056,FALSE,NA,NA,NA,NA,NA,NA,2,NA
65,1,76097248,76977915,TRUE,181,2296,0.000595017,NA,0.01804,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
66,1,76977916,77895394,TRUE,176,2157,0.000195886,NA,0.226738,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
67,1,77895395,79065286,TRUE,174,2213,0.00053269,NA,0.0281236,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
68,1,79065287,80099353,TRUE,139,2564,0.000451246,NA,0.0342681,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
69,1,80099354,80781442,TRUE,104,1834,0.000479461,NA,0.0146505,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
70,1,80781443,82123368,TRUE,318,3332,0.00123649,NA,0.000943603,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
71,1,82123369,83461215,TRUE,235,2988,0.00153431,NA,5.40483e-06,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
72,1,83461216,84728347,TRUE,175,2177,0.00128685,0.000538739,1.87268e-05,0.0947719,FALSE,NA,NA,NA,NA,NA,NA,2,NA
73,1,84728348,86017267,TRUE,312,3013,0.000942621,0.000416109,0.00589576,0.216645,FALSE,NA,NA,NA,NA,NA,NA,2,NA
74,1,86017268,86761554,TRUE,143,2009,0.000153796,0.000203247,0.251935,0.279414,FALSE,NA,NA,NA,NA,NA,NA,2,NA
75,1,86761555,87667572,TRUE,117,1779,0.00018105,0.000464516,0.198237,0.0848921,FALSE,NA,NA,NA,NA,NA,NA,2,NA
76,1,87667573,88656689,TRUE,247,1715,0.000975598,NA,0.00256845,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
77,1,88656690,89753964,TRUE,133,2006,0.000587827,0.000469395,0.00927493,0.0953728,FALSE,NA,NA,NA,NA,NA,NA,2,NA
78,1,89753965,90941549,TRUE,234,2101,0.00164702,0.000237423,1.89361e-06,0.297455,FALSE,NA,NA,NA,NA,NA,NA,2,NA
79,1,90941550,91870059,TRUE,204,1954,0.00130582,NA,2.37828e-05,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
80,1,91870060,92904465,TRUE,225,2064,0.00142023,6.87809e-05,1.42112e-05,0.42819,FALSE,NA,NA,NA,NA,NA,NA,2,NA
81,1,92904466,94168576,TRUE,96,1831,0.000648957,0.000333438,0.00153027,0.133844,FALSE,NA,NA,NA,NA,NA,NA,2,NA
82,1,94168577,95122541,TRUE,196,1907,0.00124483,NA,4.88069e-05,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
83,1,95122542,96147576,TRUE,254,2534,0.00137143,NA,4.81432e-05,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
84,1,96147577,97721186,TRUE,271,3224,0.00247449,0.00129008,9.3338e-11,0.00751517,TRUE,0.276743,0.276743,FALSE,-0.17646,0.84049,0.207744,2,NA
85,1,97721187,99425000,TRUE,269,3394,0.00143998,0.00148123,4.77448e-05,0.00278621,TRUE,0.562104,0.562104,FALSE,0.0821,1,0.0266055,2,NA
86,1,99425001,100269207,TRUE,171,1943,0.000967517,NA,0.000515884,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
87,1,100269208,101188315,TRUE,98,1703,0.000601776,NA,0.00324852,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
88,1,101188316,102424611,TRUE,221,2773,0.000943183,NA,0.0020341,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
89,1,102424612,103148412,TRUE,80,1732,0.000363815,NA,0.0289877,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
90,1,103148413,103784541,TRUE,51,1912,0.00027729,NA,0.0351814,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
91,1,103784542,104984435,TRUE,135,1840,0.000792323,0.000571323,0.00151953,0.0596675,FALSE,NA,NA,NA,NA,NA,NA,2,NA
92,1,104984436,106089656,TRUE,121,3307,0.000624452,9.73868e-05,0.00566617,0.370929,FALSE,NA,NA,NA,NA,NA,NA,2,NA
93,1,106089657,106864947,TRUE,108,1592,0.0005541,NA,0.0110966,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
94,1,106864948,107874653,TRUE,172,1824,0.000338304,0.000125218,0.102325,0.364913,FALSE,NA,NA,NA,NA,NA,NA,2,NA
95,1,107874654,109271449,TRUE,274,2657,0.000799785,0.00124502,0.0115338,0.00960839,TRUE,0.621306,0.621306,FALSE,-0.07084,1,0.0737047,2,NA
96,1,109271450,110224230,TRUE,223,1854,0.000517644,NA,0.047592,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
97,1,110224231,111134062,TRUE,270,1615,0.00151147,0.000436977,2.96386e-05,0.189548,FALSE,NA,NA,NA,NA,NA,NA,2,NA
98,1,111134063,112489248,TRUE,392,3443,0.000238233,0.000738745,0.268248,0.112476,FALSE,NA,NA,NA,NA,NA,NA,2,NA
99,1,112489249,113418037,TRUE,239,1790,0.000707205,1.76829e-05,0.0151585,0.472919,FALSE,NA,NA,NA,NA,NA,NA,2,NA
100,1,113418038,114664387,TRUE,204,1959,0.000532395,NA,0.0378785,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
101,1,114664388,116207297,TRUE,331,3494,0.00194273,NA,1.31693e-06,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
102,1,116207298,117046311,TRUE,166,1667,0.000312706,8.4721e-06,0.11621,0.476824,FALSE,NA,NA,NA,NA,NA,NA,2,NA
103,1,117046312,118118667,TRUE,208,1755,0.00141815,NA,1.24731e-05,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
104,1,118118668,119408888,TRUE,215,2586,0.000582612,NA,0.0291441,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
105,1,119408889,120345066,TRUE,206,1884,0.000573483,NA,0.0270041,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
106,1,120345067,145803848,TRUE,43,444,0.000269562,0.000141906,0.0333799,0.227476,FALSE,NA,NA,NA,NA,NA,NA,2,NA
107,1,145803849,147083835,TRUE,89,1661,0.000138233,0.000263395,0.224332,0.177243,FALSE,NA,NA,NA,NA,NA,NA,2,NA
108,1,147083836,149716037,TRUE,88,843,0.000168692,0.000869865,0.185365,0.00326221,FALSE,NA,NA,NA,NA,NA,NA,2,NA
109,1,149716038,151146407,TRUE,107,1784,0.000320577,0.00012947,0.0672626,0.326999,FALSE,NA,NA,NA,NA,NA,NA,2,NA
110,1,151146408,152535630,TRUE,204,2057,0.000931087,NA,0.00137231,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
111,1,152535631,153410809,TRUE,113,1692,0.000280057,NA,0.0994364,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
112,1,153410810,154685545,TRUE,184,1780,6.97566e-05,0.00019653,0.388532,0.307858,FALSE,NA,NA,NA,NA,NA,NA,2,NA
113,1,154685546,156813845,TRUE,398,2660,0.00277379,NA,1.00789e-09,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
114,1,156813846,158081627,TRUE,310,2955,0.00132334,NA,0.000315222,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
115,1,158081628,158900369,TRUE,160,2358,6.13453e-05,NA,0.390904,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
116,1,158900370,159882515,TRUE,195,2124,0.00044983,0.000681104,0.060212,0.060102,FALSE,NA,NA,NA,NA,NA,NA,2,NA
117,1,159882516,161054076,TRUE,266,2127,0.00105341,0.000876435,0.00214755,0.0437515,TRUE,0.0374493,0.0374493,FALSE,-1,0.94984,0.917854,2,NA
118,1,161054077,161945442,TRUE,174,1844,0.000870048,0.000640399,0.00165504,0.0611876,FALSE,NA,NA,NA,NA,NA,NA,2,NA
119,1,161945443,163141862,TRUE,351,2968,0.00118315,NA,0.00158643,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
120,1,163141863,163854567,TRUE,93,1758,0.00119316,0.00032752,3.81724e-07,0.134299,FALSE,NA,NA,NA,NA,NA,NA,2,NA
121,1,163854568,164726579,TRUE,151,1569,0.00103967,0.000113457,0.000146463,0.367887,FALSE,NA,NA,NA,NA,NA,NA,2,NA
122,1,164726580,165553812,TRUE,284,2103,0.000965679,5.07515e-05,0.00375269,0.449711,FALSE,NA,NA,NA,NA,NA,NA,2,NA
123,1,165553813,166458031,TRUE,198,1764,0.000444596,NA,0.0644319,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
124,1,166458032,167163954,TRUE,155,1936,0.000175295,0.000275004,0.234767,0.228801,FALSE,NA,NA,NA,NA,NA,NA,2,NA
125,1,167163955,168179086,TRUE,236,1876,0.000251361,NA,0.215146,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
126,1,168179087,169521551,TRUE,326,3343,0.00121048,NA,0.00098765,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
127,1,169521552,170193207,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
128,1,170193208,171044255,TRUE,146,1802,0.000116807,NA,0.302793,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
129,1,171044256,172465153,TRUE,250,3334,0.000823508,NA,0.00655026,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
130,1,172465154,173582511,TRUE,217,1758,0.000816437,NA,0.00572776,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
131,1,173582512,175385220,TRUE,127,3045,9.15046e-05,0.000266538,0.334619,0.213872,FALSE,NA,NA,NA,NA,NA,NA,2,NA
132,1,175385221,176449096,TRUE,141,1648,0.000874449,NA,0.000931679,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
133,1,176449097,177746472,TRUE,205,2252,0.0012031,8.04314e-05,8.03301e-05,0.414532,FALSE,NA,NA,NA,NA,NA,NA,2,NA
134,1,177746473,178915113,TRUE,171,2114,0.0006391,NA,0.0109183,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
135,1,178915114,180221608,TRUE,183,3482,0.000765792,NA,0.00408232,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
136,1,180221609,181324205,TRUE,193,2247,0.000756987,NA,0.00644519,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
137,1,181324206,182420540,TRUE,259,2368,0.000796263,NA,0.00951906,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
138,1,182420541,183920616,TRUE,251,3051,0.00133613,NA,9.06874e-05,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
139,1,183920617,184953089,TRUE,184,1918,0.000910037,NA,0.00104861,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
140,1,184953090,186179447,TRUE,148,1436,0.000631466,2.40848e-05,0.00956233,0.458799,FALSE,NA,NA,NA,NA,NA,NA,2,NA
141,1,186179448,187072605,TRUE,108,1723,0.000708086,0.000608434,0.00183851,0.0344689,TRUE,0.458477,0.458477,FALSE,-0.36573,1,0.215167,2,NA
142,1,187072606,187757076,TRUE,144,1866,0.000131456,0.000658714,0.281531,0.0422355,FALSE,NA,NA,NA,NA,NA,NA,2,NA
143,1,187757077,188625772,TRUE,73,2266,5.02751e-05,NA,0.372635,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
144,1,188625773,189904637,TRUE,55,2556,0.000293998,NA,0.0449677,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
145,1,189904638,191419275,TRUE,151,3198,0.000775151,0.000276747,0.0018878,0.224678,FALSE,NA,NA,NA,NA,NA,NA,2,NA
146,1,191419276,192468373,TRUE,136,2049,0.000408775,NA,0.0482452,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
147,1,192468374,193575516,TRUE,126,1604,0.000949794,0.000126664,0.000160389,0.342325,FALSE,NA,NA,NA,NA,NA,NA,2,NA
148,1,193575517,194365688,TRUE,110,2119,0.000407087,0.000540044,0.0360651,0.0527004,FALSE,NA,NA,NA,NA,NA,NA,2,NA
149,1,194365689,195161235,TRUE,77,2373,0.000385477,NA,0.0240119,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
150,1,195161236,196179110,TRUE,143,2103,0.000765125,NA,0.00237857,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
151,1,196179111,197935821,TRUE,151,2125,0.000778175,NA,0.00245978,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
152,1,197935822,199263389,TRUE,224,2756,0.000604853,0.000689732,0.0275306,0.0699641,FALSE,NA,NA,NA,NA,NA,NA,2,NA
153,1,199263390,200134005,TRUE,155,2372,0.000513202,NA,0.024143,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
154,1,200134006,201067952,TRUE,211,2046,0.000619869,0.000608571,0.0213288,0.0886453,FALSE,NA,NA,NA,NA,NA,NA,2,NA
155,1,201067953,202583884,TRUE,451,3047,0.00141178,NA,0.00109847,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
156,1,202583885,204092537,TRUE,355,2820,0.000452797,NA,0.127489,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
157,1,204092538,205009623,TRUE,250,1868,0.000876448,NA,0.0051424,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
158,1,205009624,205917548,TRUE,265,2168,0.00115485,NA,0.000579386,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
159,1,205917549,208162951,TRUE,348,2962,0.00229366,NA,4.28277e-08,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
160,1,208162952,209711169,TRUE,457,3063,0.00403895,NA,3.42452e-15,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
161,1,209711170,211082892,TRUE,330,3011,0.0021752,0.00015074,7.43096e-08,0.383612,FALSE,NA,NA,NA,NA,NA,NA,2,NA
162,1,211082893,212347582,TRUE,281,3448,0.0017388,NA,2.34821e-06,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
163,1,212347583,213958292,TRUE,363,3497,0.00177823,1.01706e-06,1.38706e-05,0.489431,FALSE,NA,NA,NA,NA,NA,NA,2,NA
164,1,213958293,214783872,TRUE,224,1819,0.00112658,NA,0.000356952,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
165,1,214783873,215825791,TRUE,138,1734,0.000652374,NA,0.00543623,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
166,1,215825792,216658126,TRUE,199,1774,0.000924923,0.000619043,0.00142682,0.0795323,FALSE,NA,NA,NA,NA,NA,NA,2,NA
167,1,216658127,217352165,TRUE,220,1729,0.000941848,0.000181775,0.00228519,0.334182,FALSE,NA,NA,NA,NA,NA,NA,2,NA
168,1,217352166,218563960,TRUE,284,3197,0.000894699,NA,0.0064627,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
169,1,218563961,220073132,TRUE,254,3606,0.00161215,NA,4.01302e-06,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
170,1,220073133,220978151,TRUE,153,1862,0.000815963,0.000208879,0.00147635,0.280883,FALSE,NA,NA,NA,NA,NA,NA,2,NA
171,1,220978152,221856864,TRUE,163,2043,0.000604615,0.000143254,0.0135545,0.34468,FALSE,NA,NA,NA,NA,NA,NA,2,NA
172,1,221856865,222763597,TRUE,215,1703,0.000502919,0.000265341,0.0550345,0.269512,FALSE,NA,NA,NA,NA,NA,NA,2,NA
173,1,222763598,223654902,TRUE,150,1598,0.000887339,NA,0.00167957,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
174,1,223654903,224943337,TRUE,204,2220,0.000995424,0.000661992,0.00082108,0.0691101,FALSE,NA,NA,NA,NA,NA,NA,2,NA
175,1,224943338,226534711,TRUE,293,3369,0.00236167,0.00110608,1.41762e-09,0.0209366,TRUE,0.6772,0.6772,FALSE,0.225,1,0.00580039,2,NA
176,1,226534712,228045554,TRUE,278,3804,0.000816421,0.00092424,0.00987059,0.039166,TRUE,0.0205952,0.0205952,FALSE,-1,1,0.958026,2,NA
177,1,228045555,229075156,TRUE,189,1812,0.000683454,NA,0.0104382,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
178,1,229075157,230227247,TRUE,232,1722,0.00114037,NA,0.000465232,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
179,1,230227248,231287764,TRUE,421,3219,0.00151382,7.6922e-05,0.000303025,0.442161,FALSE,NA,NA,NA,NA,NA,NA,2,NA
180,1,231287765,232177704,TRUE,218,1715,0.000818668,NA,0.00523306,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
181,1,232177705,232954942,TRUE,267,1925,0.000380309,NA,0.125784,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
182,1,232954943,233639473,TRUE,168,1837,0.00070416,NA,0.00614656,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
183,1,233639474,234365796,TRUE,226,1965,0.00138306,4.52107e-05,2.86076e-05,0.44844,FALSE,NA,NA,NA,NA,NA,NA,2,NA
184,1,234365797,235097113,TRUE,285,1825,0.00155583,NA,4.10295e-05,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
185,1,235097114,236199671,TRUE,147,1760,0.000361423,NA,0.0812109,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
186,1,236199672,237409458,TRUE,296,3181,0.00172411,0.000149822,8.03021e-06,0.378055,FALSE,NA,NA,NA,NA,NA,NA,2,NA
187,1,237409459,238094455,TRUE,230,1914,0.0011875,NA,0.000278761,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
188,1,238094456,238704857,TRUE,127,1870,0.000327346,NA,0.083969,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
189,1,238704858,239332148,TRUE,158,1866,0.000233086,0.000179838,0.175087,0.309125,FALSE,NA,NA,NA,NA,NA,NA,2,NA
