locus	chr	start	stop	phen1	phen2	rho	rho.lower	rho.upper	r2	r2.lower	r2.upper	p
998	6	66445496	67036787	ASD	SCZ	0.292176	-0.3918	1	0.085367	0	1	0.339109
1043	6	113705004	115062811	ASD	SCZ	0.643606	-0.18295	1	0.414229	0	1	0.116681
1048	6	119451295	120339244	ASD	SCZ	-0.547774	-1	0.15235	0.300057	0	1	0.117243
1087	6	163336362	164687462	ASD	SCZ	0.7175	0.02191	1	0.514806	0.00955	1	0.0462913
1117	7	17596579	19131026	ASD	SCZ	0.148955	-0.57314	0.99158	0.0221876	0	1	0.621605
1343	8	115334859	116094203	ASD	SCZ	-0.274441	-1	0.60596	0.0753176	0	1	0.474064
1353	8	128073655	129291118	ASD	SCZ	-0.288129	-1	0.42882	0.0830185	0	1	0.387584
1372	9	1103599	1874961	ASD	SCZ	0.069404	-0.79318	0.93347	0.00481692	0	1	0.832809
1410	9	32253284	33194892	ASD	SCZ	-0.260096	-1	0.27956	0.0676501	0	1	0.325749
1455	9	111368108	112076381	ASD	SCZ	0.171441	-0.57448	1	0.0293919	0	1	0.582461
1474	9	130902728	132193798	ASD	SCZ	0.758143	0.18481	1	0.57478	0.03563	1	0.0121529
1483	9	138995792	140097759	ASD	SCZ	0.671726	-0.0668	1	0.451216	0	1	0.0755329
1545	10	64069688	65400431	ASD	SCZ	0.10902	-0.48317	0.7579	0.0118854	0	0.67024	0.661981
1549	10	67769823	68623274	ASD	SCZ	-0.0997198	-1	0.80385	0.00994403	0	1	0.781073
1581	10	104206838	106142283	ASD	SCZ	0.591217	0.09402	1	0.349537	0.01277	1	0.0232677
1722	11	116247378	117295641	ASD	SCZ	0.484419	-0.44111	1	0.234662	0	1	0.254594
1747	12	6948955	8123317	ASD	SCZ	0.409273	-0.30878	1	0.167504	0	1	0.230215
1788	12	48960266	50344346	ASD	SCZ	0.331445	-0.1341	1	0.109856	0	1	0.159818
1808	12	73154516	74080747	ASD	SCZ	0.180255	-0.97532	1	0.0324918	0	1	0.662882
1809	12	74080748	75563968	ASD	SCZ	-0.0350291	-1	0.82585	0.00122704	0	1	0.918532
1840	12	110111515	111592381	ASD	SCZ	0.0571659	-0.60636	0.7673	0.00326794	0	0.81687	0.831907
1847	12	118256125	119301061	ASD	SCZ	-0.0949921	-1	0.90022	0.0090235	0	1	0.802995
1898	13	56434008	58245843	ASD	SCZ	0.316073	-0.35991	1	0.0999022	0	1	0.305512
1910	13	70427881	71010208	ASD	SCZ	0.491998	-0.46083	1	0.242062	0	1	0.241785
1914	13	74437636	75882384	ASD	SCZ	0.115181	-0.64712	0.98642	0.0132667	0	1	0.710744
1979	14	46748239	48177483	ASD	SCZ	0.297238	-0.44409	1	0.0883502	0	1	0.373981
1985	14	52760554	54359598	ASD	SCZ	-0.134016	-1	0.77217	0.0179604	0	1	0.715185
2007	14	77425454	78374053	ASD	SCZ	0.450706	-0.29835	1	0.203136	0	1	0.205418
2020	14	93386329	94892240	ASD	SCZ	-0.00330808	-1	0.88835	1.09434e-05	0	1	0.99224
2117	16	12793150	13893407	ASD	SCZ	0.517113	0.0286	1	0.267406	0.00578	1	0.0419169
2125	16	25235252	26154122	ASD	SCZ	0.179135	-0.76439	1	0.0320895	0	1	0.625894
2142	16	62607091	64207176	ASD	SCZ	-0.19866	-1	0.53386	0.0394657	0	1	0.542577
2149	16	71062713	72089511	ASD	SCZ	0.343082	-0.34718	1	0.117705	0	1	0.304168
2204	17	38880482	40233545	ASD	SCZ	0.301587	-0.59244	1	0.0909548	0	1	0.43215
2207	17	43460501	44865832	ASD	SCZ	-0.175272	-0.70699	0.30509	0.0307202	0	0.50653	0.448877
2266	18	36056933	37679127	ASD	SCZ	0.277169	-0.34649	1	0.0768226	0	1	0.336645
2282	18	53762997	54957867	ASD	SCZ	0.00151864	-0.6224	0.58352	2.30625e-06	0	0.54037	0.995307
2292	18	64253144	65294195	ASD	SCZ	-0.415151	-1	0.3843	0.17235	0	1	0.272381
2307	19	762047	1515920	ASD	SCZ	-0.0440281	-1	0.92485	0.00193847	0	1	0.90174
2372	20	2668109	3736551	ASD	SCZ	0.110875	-0.91066	1	0.0122933	0	1	0.762874
2384	20	14203756	15238519	ASD	SCZ	0.279271	-0.41109	1	0.0779921	0	1	0.370587
2401	20	35990262	37253657	ASD	SCZ	-0.361843	-1	0.31233	0.130931	0	1	0.264938
2413	20	49236419	50653620	ASD	SCZ	-0.323986	-1	0.38029	0.104967	0	1	0.331541
2485	22	41722788	42867927	ASD	SCZ	0.418167	-0.01431	1	0.174864	0	1	0.0535096
