locus	chr	start	stop	phen	h2.obs	h2.latent	ascertained	p
40	1	43512670	45167235	ASD	0.00048678	0.000784016	FALSE	0.199508
40	1	43512670	45167235	SCZ	0.000666207	0.001067	FALSE	0.00146271
41	1	45167236	47257261	ASD	0.000272111	0.000438267	FALSE	0.286637
42	1	47257262	48105233	SCZ	0.000136888	0.000219241	FALSE	0.171983
43	1	48105234	49185414	SCZ	0.000842518	0.00134938	FALSE	1.75349e-05
44	1	49185415	51777577	SCZ	0.000453042	0.000725596	FALSE	0.00316583
45	1	51777578	53114186	ASD	0.000445435	0.000717425	FALSE	0.119028
45	1	51777578	53114186	SCZ	0.000106001	0.000169771	FALSE	0.20981
46	1	53114187	54771293	ASD	0.000260744	0.000419959	FALSE	0.335136
46	1	53114187	54771293	SCZ	0.000844022	0.00135179	FALSE	0.000289734
47	1	54771294	55727134	SCZ	0.000108364	0.000173557	FALSE	0.300673
48	1	55727135	56799636	ASD	0.000975046	0.00157042	FALSE	0.0299114
48	1	55727135	56799636	SCZ	0.000801178	0.00128317	FALSE	2.68194e-05
49	1	56799637	57529670	ASD	9.32903e-06	1.50255e-05	FALSE	0.47939
49	1	56799637	57529670	SCZ	0.000441494	0.0007071	FALSE	0.00565624
50	1	57529671	58387483	ASD	0.000429262	0.000691377	FALSE	0.181102
50	1	57529671	58387483	SCZ	0.000265332	0.000424958	FALSE	0.0645718
51	1	58387484	59889045	SCZ	0.000523923	0.00083912	FALSE	0.00970607
52	1	59889046	61377615	ASD	0.000930196	0.00149819	FALSE	0.0588268
52	1	59889046	61377615	SCZ	0.00111271	0.00178213	FALSE	8.56382e-07
53	1	61377616	62778733	SCZ	0.000595766	0.000954184	FALSE	0.00736777
54	1	62778734	64344226	SCZ	0.000121639	0.000194819	FALSE	0.276705
55	1	64344227	65894184	ASD	0.000569844	0.000917799	FALSE	0.16099
55	1	64344227	65894184	SCZ	0.00041452	0.000663899	FALSE	0.0258639
56	1	65894185	66778015	ASD	0.000810396	0.00130524	FALSE	0.0216631
56	1	65894185	66778015	SCZ	0.000462539	0.000740806	FALSE	0.00102769
57	1	66778016	67761890	ASD	0.000593027	0.000955138	FALSE	0.0977706
57	1	66778016	67761890	SCZ	0.000193174	0.000309389	FALSE	0.117773
58	1	67761891	68633860	ASD	0.000290565	0.000467989	FALSE	0.266689
58	1	67761891	68633860	SCZ	0.00091189	0.00146049	FALSE	1.56089e-06
59	1	68633861	69438909	SCZ	0.000167559	0.000268364	FALSE	0.128161
60	1	69438910	70992905	SCZ	0.000995927	0.00159509	FALSE	4.3565e-06
61	1	70992906	72513119	SCZ	0.00092406	0.00147998	FALSE	1.6359e-06
62	1	72513120	73992170	ASD	0.000294224	0.000473882	FALSE	0.214549
62	1	72513120	73992170	SCZ	0.000604086	0.00096751	FALSE	5.36324e-05
63	1	73992171	75132092	SCZ	0.000702063	0.00112443	FALSE	9.62942e-06
64	1	75132093	76097247	ASD	0.000287562	0.000463152	FALSE	0.209087
64	1	75132093	76097247	SCZ	0.000312713	0.000500845	FALSE	0.0121214
65	1	76097248	76977915	ASD	0.000154194	0.000248347	FALSE	0.351297
65	1	76097248	76977915	SCZ	0.000443859	0.000710889	FALSE	0.00409937
66	1	76977916	77895394	SCZ	0.000238286	0.000381641	FALSE	0.0730168
67	1	77895395	79065286	SCZ	0.000111697	0.000178895	FALSE	0.230105
68	1	79065287	80099353	ASD	0.000107428	0.000173026	FALSE	0.384555
68	1	79065287	80099353	SCZ	0.000183003	0.000293099	FALSE	0.10963
69	1	80099354	80781442	SCZ	0.000119978	0.000192158	FALSE	0.164012
70	1	80781443	82123368	SCZ	0.000423775	0.000678722	FALSE	0.0285226
71	1	82123369	83461215	SCZ	0.000330022	0.000528566	FALSE	0.0473935
72	1	83461216	84728347	ASD	0.000417573	0.00067255	FALSE	0.187799
72	1	83461216	84728347	SCZ	0.000549479	0.000880051	FALSE	0.00138947
73	1	84728348	86017267	ASD	0.000584336	0.000941141	FALSE	0.158074
73	1	84728348	86017267	SCZ	0.000497648	0.000797038	FALSE	0.0112923
74	1	86017268	86761554	ASD	5.65515e-05	9.10828e-05	FALSE	0.430139
74	1	86017268	86761554	SCZ	0.000661643	0.00105969	FALSE	2.65577e-05
75	1	86761555	87667572	ASD	0.000501613	0.000807906	FALSE	0.0985018
76	1	87667573	88656689	ASD	9.19377e-05	0.000148076	FALSE	0.422477
76	1	87667573	88656689	SCZ	0.000259973	0.000416375	FALSE	0.0944291
77	1	88656690	89753964	ASD	0.000238886	0.000384754	FALSE	0.281489
77	1	88656690	89753964	SCZ	0.000129686	0.000207707	FALSE	0.196729
78	1	89753965	90941549	ASD	0.000661014	0.00106464	FALSE	0.108156
78	1	89753965	90941549	SCZ	0.00055034	0.00088143	FALSE	0.00317495
79	1	90941550	91870059	SCZ	0.000490064	0.000784891	FALSE	0.00330402
80	1	91870060	92904465	ASD	7.6884e-05	0.000123831	FALSE	0.425277
81	1	92904466	94168576	ASD	0.000165099	0.000265911	FALSE	0.330405
82	1	94168577	95122541	SCZ	0.000239054	0.000382871	FALSE	0.0849176
83	1	95122542	96147576	SCZ	0.000660865	0.00105845	FALSE	0.000409165
84	1	96147577	97721186	ASD	0.00120722	0.00194437	FALSE	0.0149142
84	1	96147577	97721186	SCZ	0.00108684	0.00174069	FALSE	2.52085e-07
85	1	97721187	99425000	ASD	0.00176766	0.00284703	FALSE	0.00209443
85	1	97721187	99425000	SCZ	0.00148396	0.00237672	FALSE	3.79527e-10
86	1	99425001	100269207	SCZ	0.000108918	0.000174444	FALSE	0.244406
87	1	100269208	101188315	SCZ	0.000253221	0.000405561	FALSE	0.0313378
88	1	101188316	102424611	SCZ	0.000793482	0.00127085	FALSE	5.59037e-05
89	1	102424612	103148412	SCZ	9.33931e-05	0.000149579	FALSE	0.220145
90	1	103148413	103784541	SCZ	0.000154942	0.000248156	FALSE	0.0592681
91	1	103784542	104984435	ASD	0.00056537	0.000910593	FALSE	0.0810556
91	1	103784542	104984435	SCZ	0.00038761	0.0006208	FALSE	0.00560826
92	1	104984436	106089656	ASD	0.00028871	0.000465002	FALSE	0.240903
92	1	104984436	106089656	SCZ	0.000118816	0.000190297	FALSE	0.211006
93	1	106089657	106864947	SCZ	0.000324907	0.000520373	FALSE	0.019966
94	1	106864948	107874653	SCZ	1.70778e-05	2.73519e-05	FALSE	0.446833
95	1	107874654	109271449	ASD	0.00101405	0.00163324	FALSE	0.0370093
95	1	107874654	109271449	SCZ	0.000341939	0.000547653	FALSE	0.0456971
96	1	109271450	110224230	ASD	0.00031705	0.000510646	FALSE	0.257844
96	1	109271450	110224230	SCZ	0.000284241	0.000455242	FALSE	0.0608673
97	1	110224231	111134062	ASD	0.000329945	0.000531415	FALSE	0.264593
97	1	110224231	111134062	SCZ	1.09303e-05	1.75061e-05	FALSE	0.466913
98	1	111134063	112489248	ASD	0.000919215	0.0014805	FALSE	0.0779666
98	1	111134063	112489248	SCZ	0.000942356	0.00150929	FALSE	6.84733e-05
99	1	112489249	113418037	ASD	9.41289e-05	0.000151606	FALSE	0.416221
99	1	112489249	113418037	SCZ	0.000226187	0.000362263	FALSE	0.110389
100	1	113418038	114664387	SCZ	0.000328404	0.000525975	FALSE	0.0349111
101	1	114664388	116207297	SCZ	0.00149689	0.00239744	FALSE	5.42584e-10
102	1	116207298	117046311	SCZ	0.000304448	0.000487607	FALSE	0.0375531
103	1	117046312	118118667	SCZ	0.000352934	0.000565262	FALSE	0.0306069
104	1	118118668	119408888	SCZ	0.000444128	0.000711319	FALSE	0.00776818
106	1	120345067	145803848	ASD	0.000134992	0.000217421	FALSE	0.286961
107	1	145803849	147083835	ASD	0.000217845	0.000350865	FALSE	0.249136
107	1	145803849	147083835	SCZ	9.17559e-05	0.000146957	FALSE	0.217159
108	1	147083836	149716037	ASD	0.000542022	0.00087299	FALSE	0.0521221
108	1	147083836	149716037	SCZ	2.35825e-05	3.77699e-05	FALSE	0.402691
109	1	149716038	151146407	SCZ	0.000498161	0.00079786	FALSE	0.000666574
110	1	151146408	152535630	SCZ	0.000383001	0.000613419	FALSE	0.0184481
111	1	152535631	153410809	SCZ	0.000133061	0.000213112	FALSE	0.163614
112	1	153410810	154685545	ASD	0.000817367	0.00131647	FALSE	0.050476
112	1	153410810	154685545	SCZ	0.000252873	0.000405004	FALSE	0.0766545
113	1	154685546	156813845	SCZ	0.0010529	0.00168634	FALSE	3.01333e-05
114	1	156813846	158081627	SCZ	0.000416426	0.000666952	FALSE	0.0286213
115	1	158081628	158900369	SCZ	0.000175747	0.000281479	FALSE	0.125405
116	1	158900370	159882515	ASD	0.000679813	0.00109492	FALSE	0.0759486
116	1	158900370	159882515	SCZ	0.000594671	0.00095243	FALSE	0.000557302
117	1	159882516	161054076	ASD	0.00147028	0.00236805	FALSE	0.00629838
117	1	159882516	161054076	SCZ	0.000155413	0.000248911	FALSE	0.217434
118	1	161054077	161945442	ASD	0.00100836	0.00162408	FALSE	0.0150452
119	1	161945443	163141862	SCZ	9.56387e-05	0.000153176	FALSE	0.323309
120	1	163141863	163854567	ASD	0.000341935	0.000550726	FALSE	0.18021
120	1	163141863	163854567	SCZ	0.000252838	0.000404948	FALSE	0.0362455
121	1	163854568	164726579	ASD	0.000143926	0.000231809	FALSE	0.361748
121	1	163854568	164726579	SCZ	0.000271233	0.00043441	FALSE	0.049175
122	1	164726580	165553812	ASD	0.000354567	0.000571071	FALSE	0.251967
122	1	164726580	165553812	SCZ	0.000454646	0.000728165	FALSE	0.0127703
123	1	165553813	166458031	SCZ	0.000518856	0.000831005	FALSE	0.00312752
124	1	166458032	167163954	ASD	0.000342414	0.000551497	FALSE	0.201818
124	1	166458032	167163954	SCZ	0.000581975	0.000932097	FALSE	0.000224256
125	1	167163955	168179086	SCZ	0.000490232	0.00078516	FALSE	0.00671842
126	1	168179087	169521551	SCZ	0.000230013	0.000368391	FALSE	0.139643
127	1	169521552	170193207	SCZ	0.000136164	0.000218082	FALSE	0.123479
128	1	170193208	171044255	SCZ	9.54517e-05	0.000152876	FALSE	0.247991
129	1	171044256	172465153	SCZ	0.000504538	0.000808074	FALSE	0.00447328
130	1	172465154	173582511	SCZ	0.000397161	0.000636096	FALSE	0.0154461
131	1	173582512	175385220	ASD	0.000958002	0.00154297	FALSE	0.0119969
131	1	173582512	175385220	SCZ	0.000493426	0.000790275	FALSE	0.000826221
132	1	175385221	176449096	SCZ	0.000555871	0.000890288	FALSE	0.000626179
133	1	176449097	177746472	SCZ	0.00101924	0.00163243	FALSE	1.64766e-07
134	1	177746473	178915113	SCZ	0.000739812	0.00118489	FALSE	2.12093e-05
135	1	178915114	180221608	SCZ	0.00017576	0.000281499	FALSE	0.140268
136	1	180221609	181324205	SCZ	0.000311266	0.000498526	FALSE	0.0380596
137	1	181324206	182420540	SCZ	0.000398318	0.00063795	FALSE	0.0221464
138	1	182420541	183920616	SCZ	0.000566398	0.000907148	FALSE	0.00283809
139	1	183920617	184953089	SCZ	0.000720059	0.00115325	FALSE	5.39858e-05
140	1	184953090	186179447	SCZ	0.000346146	0.000554391	FALSE	0.0196431
141	1	186179448	187072605	ASD	7.99562e-05	0.000128779	FALSE	0.402592
141	1	186179448	187072605	SCZ	0.000380644	0.000609643	FALSE	0.00474514
142	1	187072606	187757076	ASD	0.000689767	0.00111095	FALSE	0.0398449
142	1	187072606	187757076	SCZ	0.00068338	0.00109451	FALSE	6.08536e-06
143	1	187757077	188625772	SCZ	0.000181256	0.000290301	FALSE	0.0759784
144	1	188625773	189904637	SCZ	0.000458968	0.000735087	FALSE	0.000568806
145	1	189904638	191419275	ASD	0.000616643	0.000993175	FALSE	0.083158
145	1	189904638	191419275	SCZ	0.000358158	0.000573629	FALSE	0.0148343
146	1	191419276	192468373	SCZ	0.000105284	0.000168624	FALSE	0.234719
147	1	192468374	193575516	SCZ	0.000344564	0.000551857	FALSE	0.0174305
148	1	193575517	194365688	ASD	0.000382875	0.000616664	FALSE	0.14882
148	1	193575517	194365688	SCZ	0.000375386	0.000601222	FALSE	0.00474987
149	1	194365689	195161235	SCZ	7.76826e-05	0.000124417	FALSE	0.243564
150	1	195161236	196179110	SCZ	0.000264354	0.000423391	FALSE	0.0462009
151	1	196179111	197935821	SCZ	0.000566406	0.000907162	FALSE	0.000939795
152	1	197935822	199263389	ASD	0.00111954	0.00180316	FALSE	0.0165415
152	1	197935822	199263389	SCZ	0.000716946	0.00114827	FALSE	0.00013972
153	1	199263390	200134005	SCZ	0.000371691	0.000595304	FALSE	0.0108468
154	1	200134006	201067952	ASD	0.000492471	0.000793181	FALSE	0.14601
154	1	200134006	201067952	SCZ	0.00111681	0.0017887	FALSE	6.12014e-09
155	1	201067953	202583884	SCZ	0.000295358	0.000473047	FALSE	0.121798
156	1	202583885	204092537	SCZ	0.000295392	0.000473102	FALSE	0.103863
157	1	204092538	205009623	SCZ	0.00108927	0.00174459	FALSE	1.74267e-07
158	1	205009624	205917548	SCZ	0.000477479	0.000764735	FALSE	0.00720881
159	1	205917549	208162951	SCZ	0.000615205	0.000985318	FALSE	0.00470421
160	1	208162952	209711169	SCZ	0.000827635	0.00132555	FALSE	0.00107937
161	1	209711170	211082892	ASD	0.000174602	0.000281217	FALSE	0.376276
161	1	209711170	211082892	SCZ	0.000639364	0.00102401	FALSE	0.00240295
162	1	211082893	212347582	SCZ	0.000227392	0.000364193	FALSE	0.12091
163	1	212347583	213958292	ASD	0.000169345	0.000272751	FALSE	0.387253
163	1	212347583	213958292	SCZ	0.0006661	0.00106683	FALSE	0.00281847
164	1	213958293	214783872	SCZ	0.000495578	0.000793723	FALSE	0.00487882
165	1	214783873	215825791	SCZ	0.000423237	0.00067786	FALSE	0.00429451
166	1	215825792	216658126	ASD	0.000739078	0.00119037	FALSE	0.0656799
166	1	215825792	216658126	SCZ	0.000157161	0.00025171	FALSE	0.178942
167	1	216658127	217352165	SCZ	0.000132951	0.000212935	FALSE	0.215438
168	1	217352166	218563960	SCZ	0.000254517	0.000407637	FALSE	0.10168
169	1	218563961	220073132	ASD	0.000133143	0.000214443	FALSE	0.39193
169	1	218563961	220073132	SCZ	0.000485061	0.000776877	FALSE	0.00799103
170	1	220073133	220978151	ASD	0.000456918	0.000735919	FALSE	0.145781
170	1	220073133	220978151	SCZ	0.000235279	0.000376826	FALSE	0.0696199
171	1	220978152	221856864	ASD	2.85416e-05	4.59695e-05	FALSE	0.459098
171	1	220978152	221856864	SCZ	0.000291698	0.000467186	FALSE	0.0315293
172	1	221856865	222763597	ASD	0.000303557	0.000488914	FALSE	0.257794
172	1	221856865	222763597	SCZ	0.00026089	0.000417843	FALSE	0.0701729
174	1	223654903	224943337	ASD	0.00038507	0.000620201	FALSE	0.218342
174	1	223654903	224943337	SCZ	0.000823491	0.00131891	FALSE	1.97364e-05
175	1	224943338	226534711	ASD	0.00117562	0.00189348	FALSE	0.0191902
175	1	224943338	226534711	SCZ	0.00028959	0.000463811	FALSE	0.0727889
176	1	226534712	228045554	ASD	0.000978115	0.00157537	FALSE	0.0373143
176	1	226534712	228045554	SCZ	0.000801141	0.00128312	FALSE	6.12425e-05
177	1	228045555	229075156	SCZ	5.69265e-05	9.1174e-05	FALSE	0.352971
179	1	230227248	231287764	SCZ	0.000638014	0.00102185	FALSE	0.00427742
180	1	231287765	232177704	SCZ	0.000302613	0.000484669	FALSE	0.0497074
181	1	232177705	232954942	SCZ	0.000255957	0.000409943	FALSE	0.0942797
182	1	232954943	233639473	SCZ	0.00037468	0.000600091	FALSE	0.0127203
183	1	233639474	234365796	ASD	8.53443e-05	0.000137457	FALSE	0.420627
183	1	233639474	234365796	SCZ	0.000368029	0.000589438	FALSE	0.023621
184	1	234365797	235097113	SCZ	0.000451724	0.000723486	FALSE	0.0128369
185	1	235097114	236199671	SCZ	0.000426633	0.000683299	FALSE	0.00491061
186	1	236199672	237409458	ASD	0.000392489	0.000632149	FALSE	0.24596
186	1	236199672	237409458	SCZ	0.000340018	0.000544577	FALSE	0.0550418
187	1	237409459	238094455	ASD	0.000176365	0.000284057	FALSE	0.354605
187	1	237409459	238094455	SCZ	0.000643921	0.00103131	FALSE	0.000600742
188	1	238094456	238704857	SCZ	0.000593043	0.000949823	FALSE	6.36105e-05
189	1	238704858	239332148	ASD	0.00041463	0.00066781	FALSE	0.161988
189	1	238704858	239332148	SCZ	0.000584337	0.00093588	FALSE	0.00024015
190	1	239332149	240248508	ASD	5.03376e-05	8.10745e-05	FALSE	0.451763
190	1	239332149	240248508	SCZ	0.000788467	0.00126282	FALSE	7.82542e-05
191	1	240248509	241033584	ASD	0.000403816	0.000650392	FALSE	0.205051
191	1	240248509	241033584	SCZ	0.000334124	0.000535136	FALSE	0.0339517
192	1	241033585	241813534	SCZ	0.000562416	0.00090077	FALSE	0.00274475
193	1	241813535	242417923	ASD	7.6824e-05	0.000123734	FALSE	0.422706
193	1	241813535	242417923	SCZ	0.000126788	0.000203064	FALSE	0.218217
194	1	242417924	243048003	SCZ	0.000230972	0.000369927	FALSE	0.0777079
195	1	243048004	244723196	SCZ	0.00123717	0.00198146	FALSE	5.72899e-08
197	1	245970506	246610290	SCZ	0.000302395	0.000484318	FALSE	0.0162749
198	1	246610291	247531112	SCZ	0.000364313	0.000583487	FALSE	0.0361748
199	1	247531113	248341594	SCZ	0.000157284	0.000251908	FALSE	0.191685
201	2	10181	789195	SCZ	0.000272666	0.000436705	FALSE	0.0476914
202	2	789196	1376545	SCZ	0.000299365	0.000479466	FALSE	0.0152189
203	2	1376546	1875060	ASD	0.000551076	0.000887571	FALSE	0.112004
204	2	1875061	2680063	ASD	0.000449226	0.00072353	FALSE	0.195295
204	2	1875061	2680063	SCZ	0.000662138	0.00106049	FALSE	0.000596463
205	2	2680064	3314202	SCZ	0.000162544	0.000260331	FALSE	0.197074
207	2	4016105	4766969	SCZ	5.07816e-05	8.13322e-05	FALSE	0.358157
208	2	4766970	5568653	SCZ	0.000286346	0.000458615	FALSE	0.0306697
209	2	5568654	6306606	SCZ	0.000140323	0.000224743	FALSE	0.226367
210	2	6306607	7108208	SCZ	0.000304889	0.000488312	FALSE	0.0397638
211	2	7108209	7966709	ASD	0.000235908	0.000379957	FALSE	0.285604
211	2	7108209	7966709	SCZ	0.000630315	0.00100952	FALSE	0.000129494
212	2	7966710	8978798	SCZ	0.000631878	0.00101202	FALSE	0.000442867
213	2	8978799	9960670	SCZ	0.000288021	0.000461297	FALSE	0.0498506
214	2	9960671	10611654	SCZ	0.000200387	0.000320941	FALSE	0.145626
215	2	10611655	11230349	SCZ	0.000424925	0.000680563	FALSE	0.012439
216	2	11230350	11995765	SCZ	0.000165857	0.000265638	FALSE	0.165429
217	2	11995766	12732506	ASD	0.000445905	0.000718181	FALSE	0.21071
217	2	11995766	12732506	SCZ	0.000718959	0.00115149	FALSE	0.000453789
219	2	13625451	14692120	ASD	6.20695e-06	9.99702e-06	FALSE	0.482519
219	2	13625451	14692120	SCZ	0.00021175	0.00033914	FALSE	0.10602
220	2	14692121	15721703	ASD	0.000414808	0.000668096	FALSE	0.163663
220	2	14692121	15721703	SCZ	4.67467e-05	7.487e-05	FALSE	0.367285
221	2	15721704	17241115	SCZ	0.000462027	0.000739987	FALSE	0.0276838
222	2	17241116	18656325	ASD	0.000517323	0.000833209	FALSE	0.186365
222	2	17241116	18656325	SCZ	0.000714937	0.00114505	FALSE	0.000726311
223	2	18656326	20064517	SCZ	0.000459653	0.000736185	FALSE	0.0241622
224	2	20064518	21084898	ASD	0.000395152	0.000636438	FALSE	0.244856
224	2	20064518	21084898	SCZ	0.000319829	0.000512241	FALSE	0.0660677
225	2	21084899	22429640	SCZ	0.000683404	0.00109455	FALSE	0.00017044
226	2	22429641	23538527	ASD	0.000429157	0.000691207	FALSE	0.219093
226	2	22429641	23538527	SCZ	0.000513904	0.000823074	FALSE	0.00767906
227	2	23538528	24669224	SCZ	0.000712371	0.00114094	FALSE	0.000165777
228	2	24669225	25895394	SCZ	0.000589146	0.000943581	FALSE	0.00111173
229	2	25895395	26894102	SCZ	0.000133961	0.000214553	FALSE	0.218612
230	2	26894103	28819510	SCZ	0.00102683	0.00164459	FALSE	4.28317e-06
231	2	28819511	29627932	SCZ	0.000492902	0.000789436	FALSE	0.00516447
232	2	29627933	30575619	ASD	3.29172e-06	5.30169e-06	FALSE	0.487062
232	2	29627933	30575619	SCZ	0.000211054	0.000338026	FALSE	0.140551
233	2	30575620	31457418	ASD	0.000724082	0.00116622	FALSE	0.0878327
233	2	30575620	31457418	SCZ	0.000269608	0.000431806	FALSE	0.0803199
234	2	31457419	33123604	SCZ	0.00060831	0.000974275	FALSE	0.00288857
235	2	33123605	33735318	ASD	0.000376117	0.000605781	FALSE	0.22097
235	2	33123605	33735318	SCZ	0.000346675	0.000555238	FALSE	0.0305847
236	2	33735319	34239776	ASD	0.000238991	0.000384923	FALSE	0.264468
236	2	33735319	34239776	SCZ	0.00029763	0.000476686	FALSE	0.0230029
237	2	34239777	34890558	ASD	0.000376396	0.00060623	FALSE	0.185567
237	2	34239777	34890558	SCZ	0.000135214	0.00021656	FALSE	0.185395
238	2	34890559	35609257	SCZ	0.000197776	0.00031676	FALSE	0.0926619
239	2	35609258	36120743	SCZ	0.000379914	0.000608474	FALSE	0.00249823
240	2	36120744	36867389	SCZ	0.000445979	0.000714284	FALSE	0.00889562
241	2	36867390	37603360	SCZ	0.000815121	0.00130551	FALSE	1.13197e-05
242	2	37603361	38887393	ASD	0.000820222	0.00132106	FALSE	0.0989012
242	2	37603361	38887393	SCZ	0.00101461	0.00162502	FALSE	1.90088e-05
243	2	38887394	40087418	SCZ	0.000428269	0.000685919	FALSE	0.0125704
244	2	40087419	40786176	SCZ	0.00055109	0.000882631	FALSE	0.0029394
245	2	40786177	41540439	ASD	0.000209347	0.000337178	FALSE	0.306025
245	2	40786177	41540439	SCZ	1.24106e-05	1.98769e-05	FALSE	0.455122
246	2	41540440	42307418	SCZ	0.000548378	0.000878288	FALSE	0.00120321
247	2	42307419	43295776	ASD	7.3859e-05	0.000118958	FALSE	0.435274
248	2	43295777	44104110	SCZ	0.000172983	0.000277051	FALSE	0.16018
249	2	44104111	45189468	SCZ	7.20387e-05	0.000115378	FALSE	0.349731
250	2	45189469	45850047	SCZ	0.000458616	0.000734524	FALSE	0.013014
251	2	45850048	46499326	SCZ	0.000531674	0.000851534	FALSE	0.0103788
252	2	46499327	47320114	SCZ	0.000331778	0.000531378	FALSE	0.0568745
253	2	47320115	48171058	SCZ	0.000213025	0.000341183	FALSE	0.160163
254	2	48171059	49114132	SCZ	0.00049864	0.000798627	FALSE	0.00441643
255	2	49114133	49849185	SCZ	1.16203e-05	1.86112e-05	FALSE	0.461846
256	2	49849186	50756240	SCZ	0.000340961	0.000546086	FALSE	0.0266534
257	2	50756241	51669493	ASD	0.000310217	0.000499641	FALSE	0.259086
257	2	50756241	51669493	SCZ	0.00030475	0.000488091	FALSE	0.0477174
258	2	51669494	52494111	ASD	0.000217042	0.000349571	FALSE	0.321651
258	2	51669494	52494111	SCZ	0.000462935	0.000741442	FALSE	0.00674881
259	2	52494112	53032976	ASD	0.000720086	0.00115978	FALSE	0.0301934
259	2	52494112	53032976	SCZ	0.000205672	0.000329406	FALSE	0.0626654
260	2	53032977	53852120	SCZ	2.57019e-05	4.11644e-05	FALSE	0.433675
261	2	53852121	54688234	SCZ	0.000612015	0.000980208	FALSE	0.000260053
